ligando,grupo,evidencia_funcional,atomos_pesados,modelo,semilla,modo,afinidad,contactos,atomos_del_ligando_en_contacto,fraccion_ligando_en_contacto,residuos,toca_trp334,dist_min_al_anillo_trp334,dist_min_a_un_atomo_del_anillo
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,777,1,-5.703,6,20,0.77,331 334 335 337 338 349,True,3.63,3.64
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,777,2,-5.507,6,21,0.81,334 337 338 341 347 349,True,4.59,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,777,3,-5.435,8,15,0.58,331 334 335 337 338 341 347 349,True,4.81,3.32
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,777,4,-5.411,7,17,0.65,331 334 337 338 341 347 349,True,3.64,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,777,5,-5.277,6,17,0.65,331 334 337 338 341 349,True,3.81,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,777,6,-5.021,4,19,0.73,331 334 335 349,True,3.57,3.5
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,777,7,-4.994,8,14,0.54,331 334 335 337 338 341 347 349,True,4.02,3.54
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,777,8,-4.985,6,20,0.77,331 334 337 341 347 349,True,4.6,3.39
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,777,9,-4.876,7,14,0.54,331 334 335 337 338 341 349,True,4.73,3.69
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,42,1,-4.564,3,18,0.69,334 338 342,True,4.63,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,42,2,-4.448,7,16,0.62,311 313 323 324 327 328 331,False,10.41,8.87
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,42,3,-4.406,4,17,0.65,331 334 337 338,True,3.74,3.47
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,42,4,-4.277,4,17,0.65,331 334 335 337,True,3.71,3.58
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,42,5,-4.212,3,15,0.58,331 334 338,True,3.65,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,42,6,-4.135,5,18,0.69,331 334 335 337 338,True,3.98,3.57
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,42,7,-4.126,5,13,0.5,331 334 335 338 342,True,4.86,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,42,8,-4.049,4,17,0.65,331 334 337 338,True,3.63,3.61
