ligando,grupo,evidencia_funcional,atomos_pesados,residuo_flexible,modelo,semilla,modo,afinidad,contactos,atomos_del_ligando_en_contacto,fraccion_ligando_en_contacto,residuos,toca_trp334,dist_min_al_anillo_trp334,dist_min_a_un_atomo_del_anillo
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,2026,9,-5.198,9,18,0.69,331 334 335 338 339 341 347 348 349,True,3.62,3.55
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,777,1,-5.634,7,21,0.81,331 334 335 338 347 348 349,True,3.71,3.29
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,777,2,-5.59,6,20,0.77,331 334 335 337 338 349,True,3.59,3.64
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,777,3,-5.456,8,16,0.62,331 334 335 338 341 347 348 349,True,3.81,3.66
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,777,4,-5.443,8,19,0.73,331 334 335 338 341 347 348 349,True,3.57,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,777,5,-5.429,7,15,0.58,331 334 335 337 338 347 349,True,3.65,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,777,6,-5.283,8,20,0.77,324 327 328 331 334 335 338 349,True,3.8,3.67
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,777,7,-5.256,8,19,0.73,331 334 335 337 338 347 348 349,True,3.94,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,777,8,-5.223,8,17,0.65,327 328 331 332 334 335 338 349,True,5.25,3.65
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,777,9,-5.142,8,20,0.77,331 334 335 337 338 341 347 349,True,3.96,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,42,1,-5.023,7,19,0.73,331 334 335 337 341 347 349,True,3.49,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,42,2,-4.98,5,15,0.58,326 327 330 331 334,True,3.65,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,42,3,-4.9,6,17,0.65,328 331 332 334 335 349,True,5.35,3.69
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,42,4,-4.786,6,14,0.54,334 337 338 341 347 349,True,3.72,3.65
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,42,5,-4.779,5,19,0.73,334 337 338 341 349,True,3.7,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,42,6,-4.735,5,16,0.62,326 327 330 331 334,True,3.77,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,42,7,-4.723,5,17,0.65,334 335 338 341 349,True,3.67,3.58
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,42,8,-4.461,5,21,0.81,326 327 330 331 334,True,3.63,3.51
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,42,9,-4.394,5,16,0.62,334 337 341 347 349,True,3.63,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,2026,1,-4.964,5,15,0.58,326 327 330 331 334,True,3.65,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,2026,2,-4.947,6,20,0.77,331 334 335 337 338 349,True,3.81,3.5
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,2026,3,-4.92,7,18,0.69,331 334 335 337 341 347 349,True,3.48,3.55
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,2026,4,-4.808,6,22,0.85,327 331 334 335 337 349,True,3.6,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,2026,5,-4.773,5,19,0.73,334 337 338 341 349,True,3.73,3.58
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,2026,6,-4.713,5,16,0.62,326 327 330 331 334,True,3.79,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,2026,7,-4.681,5,18,0.69,334 335 338 341 349,True,3.74,3.48
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,2026,8,-4.666,5,16,0.62,326 327 330 331 334,True,3.75,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,2026,9,-4.443,5,16,0.62,331 334 337 338 349,True,3.53,3.51
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,777,1,-5.138,7,19,0.73,331 334 335 337 341 347 349,True,3.49,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,777,2,-5.132,6,19,0.73,331 334 335 337 338 349,True,3.85,3.5
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,777,3,-5.11,5,15,0.58,326 327 330 331 334,True,3.65,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,777,4,-4.858,5,16,0.62,326 327 330 331 334,True,3.78,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,777,5,-4.704,5,18,0.69,331 334 337 338 349,True,3.59,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,777,6,-4.686,5,18,0.69,334 337 338 347 349,True,3.62,3.55
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,777,7,-4.663,5,16,0.62,331 334 335 338 349,True,3.58,3.55
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,777,8,-4.601,5,20,0.77,326 327 330 331 334,True,3.64,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,5,777,9,-4.581,6,14,0.54,334 337 338 341 347 349,True,3.57,3.58
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,42,1,-5.543,5,18,0.69,331 334 335 338 342,True,3.72,3.43
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,42,2,-5.48,6,18,0.69,331 334 335 337 338 342,True,4.64,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,42,3,-5.422,5,19,0.73,331 334 335 337 338,True,3.66,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,42,4,-5.422,5,16,0.62,326 327 330 331 334,True,3.65,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,42,5,-5.278,7,16,0.62,311 313 323 324 327 328 331,False,11.13,9.46
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,42,6,-5.259,5,17,0.65,326 327 330 331 334,True,3.71,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,42,7,-5.205,5,20,0.77,331 334 335 337 338,True,3.66,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,42,8,-5.182,5,16,0.62,326 327 330 331 334,True,3.68,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,42,9,-5.172,4,16,0.62,327 330 331 334,True,3.63,3.51
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,2026,1,-5.047,5,18,0.69,331 334 335 338 342,True,3.7,3.43
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,2026,2,-5.023,5,18,0.69,331 334 337 338 342,True,4.6,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,2026,3,-4.999,5,17,0.65,326 327 330 331 334,True,3.68,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,2026,4,-4.837,5,20,0.77,330 331 333 334 337,True,3.7,3.55
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,2026,5,-4.764,5,17,0.65,326 327 330 331 334,True,3.78,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,2026,6,-4.759,5,16,0.62,326 327 330 331 334,True,3.7,3.54
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,2026,7,-4.754,5,20,0.77,331 334 335 337 338,True,3.66,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,2026,8,-4.752,5,14,0.54,331 334 335 338 342,True,4.7,3.54
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,2026,9,-4.617,5,18,0.69,326 327 330 331 334,True,3.75,3.48
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,777,1,-5.694,5,18,0.69,331 334 335 338 342,True,3.72,3.48
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,777,2,-5.68,6,18,0.69,331 334 335 337 338 342,True,4.66,3.65
