rbind_id,nombre,smiles,mw,pesados,estado
R-BIND (SM) 0100,Bisamidinium 8,N=C(NCCCCc1c(N)nc(N)nc1N)c1ccc(C(=N)NCCCCc2c(N)nc(N)nc2N)cc1,524.68,38,entra (NC)
R-BIND (SM) 0101,Bisamidinium 10,N=C(NCCCc1c(N)nc(N)nc1N)c1cccc(C(=N)NCCCc2c(N)nc(N)nc2N)c1,496.63,36,entra (NC)
R-BIND (SM) 0102,Bisamidinium 11,N=C(NCCCCc1c(N)nc(N)nc1N)c1cccc(C(=N)NCCCCc2c(N)nc(N)nc2N)c1,524.68,38,entra (NC)
R-BIND (SM) 0103,Acridine 1,CC(=O)NCCCNCCCNCCCNC(=O)c1cccc2c(NCCCCNc3nc(N)nc(N)n3)c3ccccc3nc12,634.83,46,entra (NC)
R-BIND (SM) 0104,Acridine 5,NCCN(CCN)CCNC(=O)c1cccc2c(NCCCCNc3nc(N)nc(N)n3)c3ccccc3nc12,550.71,40,entra (NC)
R-BIND (SM) 0105,Acridine 6,NCCN(CCNC(=O)Cc1c[nH]cn1)CCNC(=O)c1cccc2c(NCCCCNc3nc(N)nc(N)n3)c3ccccc3nc12,657.81,48,entra (NC)
R-BIND (SM) 0106,Bisamidinium 3,Nc1nc(N)nc(NCCCCNC(=[NH2+])c2ccc(C(=[NH2+])NCCCCNc3[nH+]c(N)nc(N)[nH+]3)cc2)n1,526.66,38,entra (NC)
R-BIND (SM) 0107,Ethidium-Arg Conjugate 17,C[n+]1c(-c2cccc(C(=O)NCCCCCC(=O)NCCC(=O)NC(CCCNC(=N)N)C(=O)O)c2)c2cc(N)ccc2c2ccc(N)cc21,684.82,50,entra (NC)
R-BIND (SM) 0108,Ethidium-Arg Conjugate 20,COC(=O)C(CCCNC(=N)N)NC(=O)CCNC(=O)CCCCCNC(=O)c1cccc(-c2c3cc(N)ccc3c3ccc(N)cc3[n+]2C)c1,699.86,51,entra (NC)
R-BIND (SM) 0109,S-Amino Acid Conjugate 13b,CC(=O)Nc1nc(-c2cccc(NC(=O)C(CNC(=O)[C@@H](N)CCCCN)NC(=O)[C@@H](N)CCCCN)c2)cs1,579.76,40,entra (NC)
R-BIND (SM) 0110,S-Amino Acid Conjugate 14b,CC(=O)Nc1nc(-c2cccc(NC(=O)C(CNC(=O)[C@@H](N)CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)c2)cs1,635.79,44,entra (NC)
R-BIND (SM) 0111,"Pyrido[2,3-d]pyrimidine 1-3",CC1Cc2c(N)nc(NCc3ccc(CNc4nc(N)c5c(n4)NC(=O)C(C)C5)cc3)nc2NC1=O,489.56,36,entra (NC)
R-BIND (SM) 0112,Daunorubicin Hydrochloride,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,528.53,38,entra (NC)
R-BIND (SM) 0113,Compound 5,COc1ccc(-c2cnc(NCc3cccc(OC)c3)n2C)cc1,324.4,24,entra (NC)
R-BIND (SM) 0114,Compound 16,Cc1ccc2nc(C3=C(N)N(C4CCCC4)CC3=O)[nH]c2c1,296.37,22,entra (NC)
R-BIND (SM) 0115,1a,C[NH+](C)CCOc1cc2c(c3ccccc13)-c1ccccc1C2=O,318.39,24,entra (NC)
R-BIND (SM) 0116,1b,OC(C[NH2+]CC1CCCO1)Cn1c2ccc(Br)cc2c2cc(Br)ccc21,483.22,26,entra (NC)
R-BIND (SM) 0117,2a,Fc1nc(N2CC[NH2+]CC2)c(F)c(Sc2ccc(Cl)cc2)c1F,360.8,23,entra (NC)
R-BIND (SM) 0118,Compound 2,CCN(CC)CC[n+]1ccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c2c1,363.5,27,entra (NC)
R-BIND (SM) 0119,Compound 3,Cc1c2cc[n+](C)cc2c(C)c2c1[nH]c1ccc(O)cc12,277.35,21,entra (NC)
R-BIND (SM) 0120,Compound 4,COc1ccc2[nH]c3c(C)c4ccncc4c(C)c3c2c1,276.34,21,entra (NC)
R-BIND (SM) 0121,Compound 18 (intronistat A),CC(=O)c1ccc(-c2ccc3oc(C(=O)c4cc(O)c(O)c(O)c4)cc3c2)cc1,387.37,29,entra (NC)
R-BIND (SM) 0122,Compound 19 (intronistat B),O=C(NCCN1CCCC1)c1ccc2oc(C(=O)c3cc(O)c(O)c(O)c3)cc2c1,410.43,30,entra (NC)
R-BIND (SM) 0123,Piperine,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,285.34,21,entra (NC)
R-BIND (SM) 0124,Compound 3,COc1ccc(C(=O)c2nc3c(c(-c4ccccc4)c2N)c(=O)oc2ccccc23)cc1,422.44,32,entra (NC)
R-BIND (SM) 0125,Compound 15,COc1ccc(C(=O)c2nc3c(c(-c4ccccc4)c2N)c(=O)oc2ccc(Br)cc23)cc1,501.34,33,entra (NC)
R-BIND (SM) 0126,PyDH2,C[n+]1ccc(/C=N/NC(=O)c2cccc(C(=O)N/N=C/c3cc[n+](C)c4ccccc34)n2)c2ccccc21,503.56,38,entra (NC)
R-BIND (SM) 0127,PhenDH2,C[n+]1ccc(/C=N/NC(=O)c2ccc3ccc4ccc(C(=O)N/N=C/c5cc[n+](C)c6ccccc56)nc4c3n2)c2ccccc21,604.67,46,entra (NC)
R-BIND (SM) 0128,Pseudopalmatine,COc1cc2c(cc1OC)-c1cc3cc(OC)c(OC)cc3c[n+]1CC2,352.41,26,entra (NC)
R-BIND (SM) 0129,4a-10,CSc1ccc(/C=C/c2ccc3nc4c(oc5ccccc54)c(NCCN4CCCC4)c3c2)cc1,481.66,35,entra (NC)
R-BIND (SM) 0130,4a-16,CSc1ccc(/C=C/c2ccc3nc4c(oc5ccccc54)c(NCCN4CCN(C)CC4)c3c2)cc1,510.7,37,entra (NC)
R-BIND (SM) 0131,ThT-NE,CCN(CC)c1ccc(-c2sc3cc(C)ccc3[n+]2C)cc1,311.47,22,entra (NC)
R-BIND (SM) 0132A,Targaprimir-515/885,CN1CCN(c2ccc3nc(-c4ccc5[nH]c(-c6cc(C(C)(C)C)c(OCCCC(=O)NCCCN=[N+]=[N-])c(C(C)(C)C)c6)nc5c4)[nH]c3c2)CC1,705.93,52,entra (NC)
R-BIND (SM) 0132B,Targaprimir-515/885,CN1CCN(c2ccc3nc(-c4ccc5[nH]c(-c6cc(C(C)(C)C)c(OCCCC(=O)NCCCN=[N+]=[N-])c(C(C)(C)C)c6)nc5c4)[nH]c3c2)CC1,705.93,52,duplicado de R-BIND (SM) 0132A
R-BIND (SM) 0133,CP2,CS/C(=N\c1ccc(Cl)cc1)N1CC=Cc2ccccc21,314.83,21,entra (NC)
R-BIND (SM) 0134,CP6,Fc1ccc2nncc(SCc3ccccc3)c2c1,270.33,19,entra (NC)
R-BIND (SM) 0135,CP13,Cc1cc2ccccc2nc1-c1ccccc1F,237.28,18,entra (NC)
R-BIND (SM) 0136,BIX01294,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,492.67,36,entra (NC)
R-BIND (SM) 0137,ADQ,O=C1C2=C(Nc3cc([N+](=O)[O-])ccc3N2)OC1c1ccc(C2OC3=C(Nc4ccc([N+](=O)[O-])cc4N3)C2=O)cc1,539.44,40,entra (NC)
R-BIND (SM) 0138,Compound 9,Nc1cc2c(=O)c(C(=O)O)cn(Cc3ccccn3)c2nc1N1CCN(c2nc3ccccc3s2)CC1,512.57,37,entra (NC)
R-BIND (SM) 0139,Compound 10,Nc1cc2c(=O)c(C(=O)O)cn(CCc3ccccn3)c2nc1N1CCN(c2nc3ccccc3s2)CC1,526.6,38,entra (NC)
R-BIND (SM) 0140,Compound 11,Nc1cc2c(=O)c(C(=O)O)cn(CCN3CCN(c4ccccn4)CC3)c2nc1N1CCN(c2nc3ccccc3s2)CC1,611.73,44,entra (NC)
R-BIND (SM) 0141,Compound 12,Nc1cc2c(=O)c(C(=O)O)cn(CCCN3CCN(c4ccccn4)CC3)c2nc1N1CCN(c2nc3ccccc3s2)CC1,625.75,45,entra (NC)
R-BIND (SM) 0142,Compound 4d,CN1CCN(CCCNc2nc3cc([N+](=O)[O-])ccc3nc2NCc2ccc(NC(=O)/C=C/c3ccc(N(C)C)cc3)cc2)CC1,624.77,46,entra (NC)
R-BIND (SM) 0143,Compound 3b,CN(C)CCCNc1nc2cc([N+](=O)[O-])ccc2nc1NCCCN1CCN(C)CC1,432.57,31,entra (NC)
R-BIND (SM) 0144,Compound 4a,CN(C)CCCNc1nc2cc([N+](=O)[O-])ccc2nc1NCc1ccc(NC(=O)CCCC[C@H]2SCC3NC(=O)NC32)cc1,622.77,44,entra (NC)
R-BIND (SM) 0145,Compound 4c,CN1CCN(CCCNc2nc3cc([N+](=O)[O-])ccc3nc2NCc2ccc(NC(=O)CCCCC3SCC4NC(=O)NC43)cc2)CC1,677.85,48,entra (NC)
R-BIND (SM) 0146,bPGN,CCCC[C@H]1CCCCCCc2[nH]c(/C=C3\N=CC(c4ccc[nH]4)=C3OC)cc21,391.56,29,entra (NC)
R-BIND (SM) 0147,Obatoclax,COC1=C(c2cc3ccccc3[nH]2)C=N/C1=C\c1[nH]c(C)cc1C,317.39,24,entra (NC)
R-BIND (SM) 0148,Prodigiosin,CCCCCc1cc(/C=C2\N=CC(c3ccc[nH]3)=C2OC)[nH]c1C,323.44,24,entra (NC)
R-BIND (SM) 0149,BRX1555,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CCCc3ccccc3)c2cc1C,359.41,27,entra (NC)
R-BIND (SM) 0150,RG7800,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,417.54,31,entra (NC)
R-BIND (SM) 0151,Compound 8,O=C(Nc1ccc(C2=NCCN2)cc1)c1cc(C(=O)Nc2ccc(C3=NCCN3)cc2)cc(C(=O)Nc2ccc(C3=NCCN3)cc2)c1,642.74,48,entra (NC)
R-BIND (SM) 0152,Compound 10,O=C(Nc1cccc(C2=NCCN2)c1)c1ccc(-c2ccc(C(=O)Nc3cccc(C4=NCCN4)c3)cc2)cc1,530.63,40,entra (NC)
R-BIND (SM) 0153,Linifanib,C=C/C(=C1\CNN=C1N)c1ccc(NC(=O)Nc2cc(C)ccc2F)cc1,366.42,27,entra (NC)
