ligand,vina,vinardo
DEC_CHEMBL1334295,-4.7710,-3.7460
DEC_CHEMBL1343668,-5.3810,-4.5370
DEC_CHEMBL1343679,-5.1050,-3.9670
DEC_CHEMBL1343719,-5.3100,-4.4360
DEC_CHEMBL1344270,-4.5760,-3.8690
DEC_CHEMBL1346563,-5.6820,-4.7810
DEC_CHEMBL1354314,-5.4670,-4.7310
DEC_CHEMBL1372889,-5.0570,-3.5290
DEC_CHEMBL1373390,-5.6720,-3.7800
DEC_CHEMBL1373755,-5.0640,-3.7010
DEC_CHEMBL1373785,-5.3140,-5.0200
DEC_CHEMBL1374893,-5.7310,-5.6490
DEC_CHEMBL1383019,-6.3370,-5.9200
DEC_CHEMBL1389758,-5.7360,-4.3860
DEC_CHEMBL1390550,-5.8180,-4.9290
DEC_CHEMBL1390652,-4.9580,-3.9210
DEC_CHEMBL1391531,-5.3370,-4.7810
DEC_CHEMBL1395044,-5.2950,-3.1990
DEC_CHEMBL1395067,-6.5920,-5.0380
DEC_CHEMBL1398411,-6.3560,-5.0080
DEC_CHEMBL1401914,-4.5790,-3.9670
DEC_CHEMBL1402270,-5.1710,-4.0250
DEC_CHEMBL1402356,-5.9230,-5.3010
DEC_CHEMBL1409776,-5.0100,-4.9320
DEC_CHEMBL1413075,-5.0930,-4.8310
DEC_CHEMBL1413381,-5.0040,-4.1860
DEC_CHEMBL1414576,-4.5360,-3.6010
DEC_CHEMBL1429038,-6.0550,-4.3460
DEC_CHEMBL1429107,-5.2910,-4.4480
DEC_CHEMBL1429852,-4.7430,-3.1520
DEC_CHEMBL1429958,-4.9600,-4.5010
DEC_CHEMBL1430765,-5.5170,-4.9130
DEC_CHEMBL1431783,-5.8920,-4.7060
DEC_CHEMBL1435511,-5.1630,-4.3810
DEC_CHEMBL1437517,-6.5150,-5.2370
DEC_CHEMBL1437579,-5.5310,-4.4430
DEC_CHEMBL1440455,-5.0480,-4.4960
DEC_CHEMBL1441905,-5.3330,-5.0010
DEC_CHEMBL1443628,-4.9730,-4.0610
DEC_CHEMBL1446677,-4.9210,-4.0490
DEC_CHEMBL1452318,-5.9750,-4.7940
DEC_CHEMBL1461506,-5.8440,-4.8180
DEC_CHEMBL1461527,-4.6650,-3.0710
DEC_CHEMBL1462643,-5.5140,-3.8870
DEC_CHEMBL1468148,-5.4080,-4.2000
DEC_CHEMBL1468265,-4.8480,-3.8130
DEC_CHEMBL1470097,-5.4920,-4.2420
DEC_CHEMBL1470785,-4.9680,-4.3990
DEC_CHEMBL1470903,-6.0970,-5.5650
DEC_CHEMBL1472702,-6.7070,-5.1780
DEC_CHEMBL1474627,-5.7080,-4.6460
DEC_CHEMBL1475748,-6.1160,-5.5530
DEC_CHEMBL1476483,-6.1190,-4.9870
DEC_CHEMBL1476890,-5.6740,-4.5700
DEC_CHEMBL1486005,-5.6140,-4.4600
DEC_CHEMBL1486052,-4.9930,-4.3220
DEC_CHEMBL1491587,-6.2860,-5.6050
DEC_CHEMBL1491654,-6.9550,-5.7990
DEC_CHEMBL1491689,-5.0810,-4.1980
DEC_CHEMBL1501518,-4.2560,-4.4880
DEC_CHEMBL1502123,-5.3610,-5.0900
DEC_CHEMBL1502132,-5.9000,-5.2100
DEC_CHEMBL1509423,-5.4120,-4.5200
DEC_CHEMBL1510247,-5.7690,-4.9720
DEC_CHEMBL1524161,-4.7650,-3.8960
DEC_CHEMBL1524176,-5.2970,-4.9670
DEC_CHEMBL1527656,-4.9890,-3.7870
DEC_CHEMBL1528023,-6.5100,-6.1230
DEC_CHEMBL1530615,-5.7730,-5.3390
DEC_CHEMBL1531633,-5.7140,-4.6380
DEC_CHEMBL1536059,-5.3200,-4.8010
DEC_CHEMBL1539969,-4.9910,-4.3660
DEC_CHEMBL1540430,-5.3600,-3.6370
DEC_CHEMBL1541085,-5.0240,-3.0370
DEC_CHEMBL1547432,-6.0660,-5.1560
DEC_CHEMBL1554159,-6.0620,-5.5330
DEC_CHEMBL1558140,-5.5540,-5.1890
DEC_CHEMBL1558218,-5.1730,-4.5480
DEC_CHEMBL1563897,-4.8830,-4.2150
