ligando,reparado,atomos_smiles,atomos_preparado,motivo
CHEMBL1864598,1,40,40,ya estaba
CHEMBL1864602,1,37,37,ya estaba
CHEMBL1864606,1,31,31,ya estaba
CHEMBL1864612,1,25,25,ya estaba
CHEMBL1864642,1,27,27,ya estaba
CHEMBL1864660,1,31,31,ya estaba
CHEMBL1864669,1,28,28,ya estaba
CHEMBL1864692,1,25,25,ya estaba
CHEMBL1864766,1,41,41,ya estaba
CHEMBL1864805,1,37,37,ya estaba
CHEMBL1864811,1,20,20,ya estaba
CHEMBL1864869,1,27,27,ya estaba
CHEMBL1864887,1,18,18,ya estaba
CHEMBL1864896,1,27,27,ya estaba
CHEMBL1864903,1,36,36,ya estaba
CHEMBL1864926,1,27,27,ya estaba
CHEMBL1864940,1,23,23,ya estaba
CHEMBL1864955,1,24,24,ya estaba
CHEMBL1865009,1,27,27,ya estaba
CHEMBL1865039,1,23,23,ya estaba
CHEMBL1865042,1,35,35,ya estaba
CHEMBL1865092,1,12,12,ya estaba
CHEMBL1865093,1,27,27,ya estaba
CHEMBL1865117,1,36,36,ya estaba
CHEMBL1865147,1,39,39,ya estaba
CHEMBL1865173,1,30,30,ya estaba
CHEMBL1865185,1,26,26,ya estaba
CHEMBL1865204,1,42,42,ya estaba
CHEMBL1865220,1,38,38,ya estaba
CHEMBL1865238,1,13,13,ya estaba
CHEMBL1865239,1,31,31,ya estaba
CHEMBL1865244,1,43,43,ya estaba
CHEMBL1865287,1,39,39,ya estaba
CHEMBL1865311,1,45,45,ya estaba
CHEMBL1865337,1,37,37,ya estaba
CHEMBL1865372,1,23,23,ya estaba
CHEMBL1865376,1,21,21,ya estaba
CHEMBL1865403,1,21,21,ya estaba
CHEMBL1865425,1,27,27,ya estaba
CHEMBL1865435,1,31,31,ya estaba
CHEMBL1865470,1,20,20,ya estaba
CHEMBL1865475,1,41,41,ya estaba
CHEMBL1865490,1,39,39,ya estaba
CHEMBL1865616,1,27,27,ya estaba
CHEMBL1865646,1,26,26,ya estaba
CHEMBL1865649,1,36,36,ya estaba
CHEMBL1865652,1,47,47,ya estaba
CHEMBL1865662,1,40,40,ya estaba
CHEMBL1865674,1,15,15,ya estaba
CHEMBL1865688,1,40,40,ya estaba
CHEMBL1865690,1,30,30,ya estaba
CHEMBL1865695,1,21,21,ya estaba
CHEMBL1865726,1,33,33,ya estaba
CHEMBL1865788,1,30,30,ya estaba
CHEMBL1865804,1,31,31,ya estaba
CHEMBL1865808,1,50,50,ya estaba
CHEMBL1865816,1,23,23,ya estaba
CHEMBL1865820,1,43,43,ya estaba
CHEMBL1865880,1,41,41,ya estaba
CHEMBL1865884,1,36,36,ya estaba
CHEMBL1865908,1,36,36,ya estaba
CHEMBL1865909,1,37,37,ya estaba
CHEMBL1865916,1,12,12,ya estaba
CHEMBL1865918,1,24,24,ya estaba
CHEMBL1865921,1,21,21,ya estaba
CHEMBL1865936,1,30,30,ya estaba
CHEMBL1865940,1,27,27,ya estaba
CHEMBL1865983,1,41,41,ya estaba
CHEMBL1865991,1,40,40,ya estaba
CHEMBL1866003,1,32,32,ya estaba
CHEMBL1866050,1,26,26,ya estaba
CHEMBL1866057,1,32,32,ya estaba
CHEMBL1866063,1,34,34,ya estaba
CHEMBL1866092,1,31,31,ya estaba
CHEMBL1866095,1,47,47,ya estaba
CHEMBL1866104,1,37,37,ya estaba
CHEMBL1866107,1,13,13,ya estaba
CHEMBL1866140,1,34,34,ya estaba
CHEMBL1866497,1,25,25,ya estaba
