target,ligand,afinidad
FUS,CHEMBL13891,-6.7
FUS,CHEMBL1397298,-6.5
FUS,CHEMBL13998,-6.5
FUS,CHEMBL14076,-6.4
FUS,CHEMBL14121,-6.4
FUS,CHEMBL14177,-6.8
FUS,CHEMBL14185,-6.4
FUS,CHEMBL14212,-6.4
FUS,CHEMBL14222,-6.4
FUS,CHEMBL14265,-6.6
FUS,CHEMBL14272,-6.4
FUS,CHEMBL14288,-6.9
FUS,CHEMBL14293,-6.4
FUS,CHEMBL14304,-6.4
FUS,CHEMBL14369,-6.7
FUS,CHEMBL1441967,-6.9
FUS,CHEMBL14504,-6.5
FUS,CHEMBL14601,-6.5
FUS,CHEMBL14666,-6.9
FUS,CHEMBL1472702,-6.5
FUS,CHEMBL14758,-7.1
FUS,CHEMBL14761,-6.4
FUS,CHEMBL1485553,-6.4
FUS,CHEMBL14866,-6.6
FUS,CHEMBL14872,-6.5
FUS,CHEMBL1488129,-6.5
FUS,CHEMBL14887,-7.5
FUS,CHEMBL14895,-6.5
FUS,CHEMBL149,-6.5
FUS,CHEMBL14921,-6.4
FUS,CHEMBL14970,-6.4
FUS,CHEMBL1508434,-6.8
FUS,CHEMBL15100,-6.5
FUS,CHEMBL15237,-6.5
FUS,CHEMBL1546634,-6.5
FUS,CHEMBL154714,-6.4
FUS,CHEMBL15579,-6.4
FUS,CHEMBL15581,-6.6
FUS,CHEMBL15744,-6.8
FUS,CHEMBL157459,-6.4
FUS,CHEMBL15749,-6.4
FUS,CHEMBL15808,-6.4
FUS,CHEMBL158175,-6.6
FUS,CHEMBL1592710,-6.4
FUS,CHEMBL15933,-6.7
FUS,CHEMBL159567,-7.4
FUS,CHEMBL159668,-6.6
FUS,CHEMBL15983,-6.4
FUS,CHEMBL1608464,-6.4
FUS,CHEMBL16215,-7.0
FUS,CHEMBL162297,-6.5
FUS,CHEMBL16239,-6.9
FUS,CHEMBL16243,-6.4
FUS,CHEMBL162493,-6.6
FUS,CHEMBL16254,-6.5
FUS,CHEMBL16289,-6.6
FUS,CHEMBL16334,-6.4
FUS,CHEMBL16385,-6.8
FUS,CHEMBL16475,-6.5
FUS,CHEMBL16498,-6.4
FUS,CHEMBL16525,-6.7
FUS,CHEMBL16574,-6.5
FUS,CHEMBL16590,-6.8
FUS,CHEMBL16663,-6.5
FUS,CHEMBL16666,-6.4
FUS,CHEMBL16669,-6.6
FUS,CHEMBL16671,-7.1
FUS,CHEMBL16676,-6.4
FUS,CHEMBL16695,-6.7
FUS,CHEMBL16750,-6.4
FUS,CHEMBL16866,-6.4
FUS,CHEMBL16871,-7.0
FUS,CHEMBL16888,-6.9
FUS,CHEMBL16895,-6.4
FUS,CHEMBL16936,-6.6
FUS,CHEMBL16948,-6.4
