ligand,smiles,metal,motivo,smiles_corregido
CHEMBL4568477,CCOC(=O)c1cc(Br)ccc1[Te]c1ccc(Br)cc1C(=O)OCC,Te,metal_Te,CCOC(=O)c1cc(Br)ccc1[Te]c1ccc(Br)cc1C(=O)OCC
CHEMBL4568768,CN1Cc2cc(-c3ccc(-c4cncc([N-]S(=O)(=O)c5ccc(F)cc5F)c4)s3)cnc2C1=O.[Na+],Na,metal_Na,CN1Cc2cc(-c3ccc(-c4cncc([N-]S(=O)(=O)c5ccc(F)cc5F)c4)s3)cnc2C1=O
CHEMBL4568795,CCCC[C@H](NC(=O)[C@@H](Cc1cn(C(=O)OC)c2ccccc12)NC(=O)[C@@H](CC(C)(C)C)NC(=O)N1[C@H](C)CCC[C@@H]1C)C(=O)[O-].[Na+],Na,metal_Na,CCCC[C@H](NC(=O)[C@@H](Cc1cn(C(=O)OC)c2ccccc12)NC(=O)[C@@H](CC(C)(C)C)NC(=O)N1[C@H](C)CCC[C@@H]1C)C(=O)[O-]
CHEMBL4569327,Cc1ccc(NC(=O)C[C@H](CCC(=O)[O-])c2noc(-c3csc(CC(C)C)n3)c2C2CC2)c(Cl)c1.[Na+],Na,metal_Na,Cc1ccc(NC(=O)C[C@H](CCC(=O)[O-])c2noc(-c3csc(CC(C)C)n3)c2C2CC2)c(Cl)c1
CHEMBL4569385,O=c1c(OS(=O)(=O)[O-])c(-c2ccc(OS(=O)(=O)[O-])c(OS(=O)(=O)[O-])c2)oc2cc(OS(=O)(=O)[O-])cc(OCCOc3cc(OS(=O)(=O)[O-])cc4oc(-c5ccc(OS(=O)(=O)[O-])c(OS(=O)(=O)[O-])c5)c(OS(=O)(=O)[O-])c(=O)c34)c12.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],Na,metal_Na,O=c1c(OS(=O)(=O)[O-])c(-c2ccc(OS(=O)(=O)[O-])c(OS(=O)(=O)[O-])c2)oc2cc(OS(=O)(=O)[O-])cc(OCCOc3cc(OS(=O)(=O)[O-])cc4oc(-c5ccc(OS(=O)(=O)[O-])c(OS(=O)(=O)[O-])c5)c(OS(=O)(=O)[O-])c(=O)c34)c12
CHEMBL4570184,COc1cc(Cl)nc(NC(=O)[N-]S(=O)(=O)Oc2ccccc2C(=O)Oc2ccccc2)n1.[Na+],Na,metal_Na,COc1cc(Cl)nc(NC(=O)[N-]S(=O)(=O)Oc2ccccc2C(=O)Oc2ccccc2)n1
CHEMBL4570291,Cc1ccc2c(c1)/C(=N/NC(=O)Nc1ccccc1Cl)CC[Se]2,Se,metal_Se,Cc1ccc2c(c1)/C(=N/NC(=O)Nc1ccccc1Cl)CC[Se]2
CHEMBL4570629,Cc1ccc(NC(=S)N/N=C2\CC[Se]c3ccc(C)cc32)cc1,Se,metal_Se,Cc1ccc(NC(=S)N/N=C2\CC[Se]c3ccc(C)cc32)cc1
CHEMBL4570765,CCCCOc1nc(N)c2nc(SCC(=O)[O-])n(Cc3ccccc3)c2n1.[Na+],Na,metal_Na,CCCCOc1nc(N)c2nc(SCC(=O)[O-])n(Cc3ccccc3)c2n1
CHEMBL4570893,O=C([O-])CCC/C=C\CCCCCCC/C=C\CCCCO.[Na+],Na,metal_Na,O=C([O-])CCC/C=C\CCCCCCC/C=C\CCCCO
CHEMBL4571441,COc1cc(C)nc(NC(=O)[N-]S(=O)(=O)Oc2ccccc2C(=O)OCC(F)(F)F)n1.[Na+],Na,metal_Na,COc1cc(C)nc(NC(=O)[N-]S(=O)(=O)Oc2ccccc2C(=O)OCC(F)(F)F)n1
CHEMBL4571802,Clc1c2n[se]sc-2c(Cl)c1Cl,Se,metal_Se,Clc1c2n[se]sc-2c(Cl)c1Cl
CHEMBL4571982,CCOC(=[Se])Nc1ccc2c(C)cc(=O)oc2c1,Se,metal_Se,CCOC(=[Se])Nc1ccc2c(C)cc(=O)oc2c1
CHEMBL4572630,O=c1[nH]cnc2c1ncn2CCCS(=O)(=O)CP(=O)([O-])[O-].[Na+].[Na+],Na,metal_Na,O=c1[nH]cnc2c1ncn2CCCS(=O)(=O)CP(=O)([O-])[O-]
CHEMBL4573010,O=C([O-])[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](NS(=O)(=O)[O-])[C@@H](OCCNS(=O)(=O)[O-])O[C@@H]2COS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@@H](O)[C@@H]1O[C@H]1O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H](O)[C@H]1NS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],Na,metal_Na,O=C([O-])[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](NS(=O)(=O)[O-])[C@@H](OCCNS(=O)(=O)[O-])O[C@@H]2COS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@@H](O)[C@@H]1O[C@H]1O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H](O)[C@H]1NS(=O)(=O)[O-]
CHEMBL4573615,CCCOC(=O)c1ccccc1OS(=O)(=O)[N-]C(=O)Nc1nc(OC)cc(OC)n1.[Na+],Na,metal_Na,CCCOC(=O)c1ccccc1OS(=O)(=O)[N-]C(=O)Nc1nc(OC)cc(OC)n1
CHEMBL4573696,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)C=C4C[C@@H](OS(=O)(=O)[O-])CC[C@]4(C)[C@H]3CC[C@]12C.[Na+],Na,metal_Na,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)C=C4C[C@@H](OS(=O)(=O)[O-])CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL4573722,O=c1c2ccc(Cl)cc2[se]n1-c1ccc2cccc(O)c2n1,Se,metal_Se,O=c1c2ccc(Cl)cc2[se]n1-c1ccc2cccc(O)c2n1
CHEMBL4573753,COc1ccc(-c2c(C(OC(C)(C)C)C(=O)[O-])n(Cc3ccccc3)c3ccccc23)cc1.[Na+],Na,metal_Na,COc1ccc(-c2c(C(OC(C)(C)C)C(=O)[O-])n(Cc3ccccc3)c3ccccc23)cc1
CHEMBL4573802,COc1cc(I)nc(NC(=O)[N-]S(=O)(=O)Oc2ccccc2[N+](=O)[O-])n1.[Na+],Na,metal_Na,COc1cc(I)nc(NC(=O)[N-]S(=O)(=O)Oc2ccccc2[N+](=O)[O-])n1
CHEMBL4574297,C[C@@H](O)CCC/C=C\CCCCCCC/C=C\CCCC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-].[Na+].[Na+],Na,metal_Na,C[C@@H](O)CCC/C=C\CCCCCCC/C=C\CCCC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-]
CHEMBL4574815,Cc1ccc(NC(=O)C[C@H](CCC(=O)[O-])c2noc(-c3cc(CC(C)(C)C)on3)c2C2CC2)c(Cl)c1.[Na+],Na,metal_Na,Cc1ccc(NC(=O)C[C@H](CCC(=O)[O-])c2noc(-c3cc(CC(C)(C)C)on3)c2C2CC2)c(Cl)c1
CHEMBL4580887,Nc1nnc(S(=O)(=O)[N-][N+](=O)[O-])s1.[Ag+],Ag,metal_Ag,Nc1nnc(S(=O)(=O)[N-][N+](=O)[O-])s1
CHEMBL4580959,CN1CCN(c2nc(N)nc(C[Se]c3ccccc3)n2)CC1,Se,metal_Se,CN1CCN(c2nc(N)nc(C[Se]c3ccccc3)n2)CC1
CHEMBL4581078,C[C@H](O)CCC/C=C\CCCCCCC/C=C\CCCC(=O)[O-].[Na+],Na,metal_Na,C[C@H](O)CCC/C=C\CCCCCCC/C=C\CCCC(=O)[O-]
CHEMBL4581524,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)([S-])O[C@@H]3[C@H](O)[C@@H](CO[P@@](=O)([S-])O[C@H]2[C@H]1F)O[C@H]3n1cnc2c(N)ncnc21.[Na+].[Na+],Na,metal_Na,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)([S-])O[C@@H]3[C@H](O)[C@@H](CO[P@@](=O)([S-])O[C@H]2[C@H]1F)O[C@H]3n1cnc2c(N)ncnc21
CHEMBL4581769,Cc1ccc(NC(=O)C[C@H](CCC(=O)[O-])c2noc(-c3nnc(CC(C)C)s3)c2C2CC2)c(Cl)c1.[Na+],Na,metal_Na,Cc1ccc(NC(=O)C[C@H](CCC(=O)[O-])c2noc(-c3nnc(CC(C)C)s3)c2C2CC2)c(Cl)c1
CHEMBL4581838,Cc1ccc(C)c(NC(=S)N/N=C2\CC[Se]c3ccc(C)cc32)c1,Se,metal_Se,Cc1ccc(C)c(NC(=S)N/N=C2\CC[Se]c3ccc(C)cc32)c1
CHEMBL4581861,CCOc1ccc(NC(=O)N/N=C2\CC[Se]c3ccc(F)cc32)cc1,Se,metal_Se,CCOc1ccc(NC(=O)N/N=C2\CC[Se]c3ccc(F)cc32)cc1
CHEMBL4582229,CC[Te]CC(O)COc1ccc(S(N)(=O)=O)cc1,Te,metal_Te,CC[Te]CC(O)COc1ccc(S(N)(=O)=O)cc1
CHEMBL4582249,Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)[se]2)[se]1,Se,metal_Se,Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)[se]2)[se]1
CHEMBL4583523,O=c1c2cccc(F)c2[se]n1-c1ccc2cccc(O)c2n1,Se,metal_Se,O=c1c2cccc(F)c2[se]n1-c1ccc2cccc(O)c2n1
CHEMBL4583602,CCOC(=O)CCOP(=O)([O-])N[C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-].[K+].[K+],K,metal_K,CCOC(=O)CCOP(=O)([O-])N[C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-]
CHEMBL4584965,Cl[TeH]1(Cl)(Cl)OCCO1.N,Te,metal_Te,Cl[TeH]1(Cl)(Cl)OCCO1
CHEMBL4585095,[Na+].[O-]c1ccccc1-c1ncn(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)n1,Na,metal_Na,[O-]c1ccccc1-c1ncn(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)n1
CHEMBL4585465,COc1ncc(-c2ccc(-c3cnc4c(c3)CN(C)C4=O)s2)cc1[N-]S(=O)(=O)c1ccc(F)cc1F.[Na+],Na,metal_Na,COc1ncc(-c2ccc(-c3cnc4c(c3)CN(C)C4=O)s2)cc1[N-]S(=O)(=O)c1ccc(F)cc1F
CHEMBL4594215,CC(C)CCCCC(=O)N[C@@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H](C(=O)N[C@@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC1=O)[C@H](C)O.CCCCCCCC(=O)N[C@@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H](C(=O)N[C@@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC1=O)[C@H](C)O.CC[C@H](C)CCCCC(=O)N[C@@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H](C(=O)N[C@@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC1=O)[C@H](C)O.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],Na,metal_Na,CC[C@H](C)CCCCC(=O)N[C@@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H](C(=O)N[C@@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC1=O)[C@H](C)O
CHEMBL4594383,CC1(C)C(/C=C/C2=C(Oc3ccc(C[C@H](NC(=O)c4ccc(NCc5cnc6nc(N)[nH]c(=O)c6n5)cc4)C(=O)[O-])cc3)/C(=C/C=C3\N(CCCCS(=O)(=O)[O-])c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21.[Na+].[Na+].[Na+].[Na+],Na,metal_Na,CC1(C)C(/C=C/C2=C(Oc3ccc(C[C@H](NC(=O)c4ccc(NCc5cnc6nc(N)[nH]c(=O)c6n5)cc4)C(=O)[O-])cc3)C(=C/C=C3\N(CCCCS(=O)(=O)[O-])c4ccc(S(=O)(=O)[O-])cc4C3(C)C)/CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21
CHEMBL4594393,O=C([O-])CCCO.O=C([O-])CCCO.[Ca+2],Ca,metal_Ca,O=C([O-])CCCO
CHEMBL4594394,O=C([O-])CCCO.O=C([O-])CCCO.[Mg+2],Mg,metal_Mg,O=C([O-])CCCO
CHEMBL4594395,O=C([O-])CCCO.[K+],K,metal_K,O=C([O-])CCCO
CHEMBL4597200,Cl[TeH]1(Cl)(Cl)OCCO1,Te,metal_Te,Cl[TeH]1(Cl)(Cl)OCCO1
CHEMBL461028,Oc1ccc(-c2ccc(-c3ccc(O)cc3)[se]2)cc1,Se,metal_Se,Oc1ccc(-c2ccc(-c3ccc(O)cc3)[se]2)cc1
CHEMBL4634752,O=c1[nH]cnc2c1ncn2CC[C@@H](O)CP(=O)([O-])[O-].[Na+].[Na+],Na,metal_Na,O=c1[nH]cnc2c1ncn2CC[C@@H](O)CP(=O)([O-])[O-]
CHEMBL4634755,CCCCCCC[Te]c1ccccc1,Te,metal_Te,CCCCCCC[Te]c1ccccc1
CHEMBL4634988,CCOC(=O)c1cc([Te]c2ccccc2)c2cc(OC)ccc2n1,Te,metal_Te,CCOC(=O)c1cc([Te]c2ccccc2)c2cc(OC)ccc2n1
CHEMBL4635037,Nc1ncnc2c1ncn2CC[C@H](O)CP(=O)([O-])[O-].[Na+].[Na+],Na,metal_Na,Nc1ncnc2c1ncn2CC[C@H](O)CP(=O)([O-])[O-]
CHEMBL4635133,O=C([O-])CCCc1nc(-c2ccc(Cl)cc2)no1.[Na+],Na,metal_Na,O=C([O-])CCCc1nc(-c2ccc(Cl)cc2)no1
CHEMBL4635190,Nc1nc(N)c2ncn(C[C@H](O)CP(=O)([O-])[O-])c2n1.[Na+].[Na+],Na,metal_Na,Nc1nc(N)c2ncn(C[C@H](O)CP(=O)([O-])[O-])c2n1
CHEMBL4635192,Nc1nc(O)c2ncn(CC/C=C\P(=O)([O-])[O-])c2n1.[Na+].[Na+],Na,metal_Na,Nc1nc(O)c2ncn(CC/C=C\P(=O)([O-])[O-])c2n1
CHEMBL4635297,O=C([O-])CCCc1nc(-c2ccccc2)no1.[Na+],Na,metal_Na,O=C([O-])CCCc1nc(-c2ccccc2)no1
CHEMBL4635467,O=C([O-])[C@@H]1[C@H](O)[C@H](O)[C@@H](O)c2nnnn21.[Na+],Na,metal_Na,O=C([O-])[C@@H]1[C@H](O)[C@H](O)[C@@H](O)c2nnnn21
CHEMBL4635712,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)CCC3C(=O)N(c4ccc(C)c(C)c4)C3c3ccccc3)[C@H]2SC1.[Na+],Na,metal_Na,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)CCC3C(=O)N(c4ccc(C)c(C)c4)C3c3ccccc3)[C@H]2SC1
CHEMBL4635812,CCOC(=O)c1cc([Se]c2ccccc2)c2ccccc2n1,Se,metal_Se,CCOC(=O)c1cc([Se]c2ccccc2)c2ccccc2n1
CHEMBL4635829,Nc1nc(N)c2ncn(C[C@@H](O)CP(=O)([O-])[O-])c2n1.[Na+].[Na+],Na,metal_Na,Nc1nc(N)c2ncn(C[C@@H](O)CP(=O)([O-])[O-])c2n1
CHEMBL4635836,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)CC3C(=O)N(c4ccc(C)c(C)c4)C3c3ccccc3)[C@H]2SC1.[Na+],Na,metal_Na,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)CC3C(=O)N(c4ccc(C)c(C)c4)C3c3ccccc3)[C@H]2SC1
CHEMBL4636067,Nc1nc(O)c2ncn(CC[C@@H](N)CP(=O)([O-])[O-])c2n1.[Na+].[Na+],Na,metal_Na,Nc1nc(O)c2ncn(CC[C@@H](N)CP(=O)([O-])[O-])c2n1
CHEMBL4636073,C=C1CC(C[Se]c2ccccc2)(c2ccccc2)OC1=O,Se,metal_Se,C=C1CC(C[Se]c2ccccc2)(c2ccccc2)OC1=O
CHEMBL4636156,Nc1nc(N)c2ncn(CC[C@H](O)CP(=O)([O-])[O-])c2n1.[Na+].[Na+],Na,metal_Na,Nc1nc(N)c2ncn(CC[C@H](O)CP(=O)([O-])[O-])c2n1
CHEMBL4636173,O=C([O-])[C@H]1[C@@H](O)[C@H](O)[C@@H](O)c2nnnn21.[Na+],Na,metal_Na,O=C([O-])[C@H]1[C@@H](O)[C@H](O)[C@@H](O)c2nnnn21
CHEMBL4636265,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)[O-].[Na+],Na,metal_Na,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)[O-]
CHEMBL4636477,Cc1cn([C@H]2C[C@H](n3cc(C[Se]c4ccc(NC(=S)Nc5ccc(S(N)(=O)=O)cc5)cc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,Se,metal_Se,Cc1cn([C@H]2C[C@H](n3cc(C[Se]c4ccc(NC(=S)Nc5ccc(S(N)(=O)=O)cc5)cc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O
CHEMBL4636701,COc1ccc2nc(-c3c(C)cccc3C)cc([Se]c3ccccc3)c2c1,Se,metal_Se,COc1ccc2nc(-c3c(C)cccc3C)cc([Se]c3ccccc3)c2c1
CHEMBL4636883,COc1ccc(-c2nc(NC(=O)c3cnc(N(C)CC(=O)[O-])cn3)sc2CN2CCCC(C)(C)C2)cc1C(F)(F)F.[K+],K,metal_K,COc1ccc(-c2nc(NC(=O)c3cnc(N(C)CC(=O)[O-])cn3)sc2CN2CCCC(C)(C)C2)cc1C(F)(F)F
CHEMBL4636938,O=C([O-])CCCc1nc(-c2ccc(C(F)(F)F)cc2)no1.[Na+],Na,metal_Na,O=C([O-])CCCc1nc(-c2ccc(C(F)(F)F)cc2)no1
CHEMBL4637604,O=C1N[C@@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O.[Na+],Na,metal_Na,O=C1N[C@@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O
CHEMBL4638059,COc1ccc2nc(-c3cccs3)cc([Se]c3ccccc3)c2c1,Se,metal_Se,COc1ccc2nc(-c3cccs3)cc([Se]c3ccccc3)c2c1
CHEMBL4638422,COc1ccc([Se]CCCCOC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@@H]32)cc1,Se,metal_Se,COc1ccc([Se]CCCCOC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@@H]32)cc1
CHEMBL4638426,O=C1N[C@H]2[C@H](CS[C@H]2CCCCC(=O)OCCCC[Te]c2ccccc2)N1,Te,metal_Te,O=C1N[C@H]2[C@H](CS[C@H]2CCCCC(=O)OCCCC[Te]c2ccccc2)N1
CHEMBL4638645,CNC(=O)[C@H]1[Se][C@@H](n2cnc3c(NCc4cccc5ccccc45)ncnc32)[C@H](O)[C@@H]1O,Se,metal_Se,CNC(=O)[C@H]1[Se][C@@H](n2cnc3c(NCc4cccc5ccccc45)ncnc32)[C@H](O)[C@@H]1O
CHEMBL4639027,O=C1N[C@H]2[C@H](CS[C@H]2CCCCC(=O)OCCCC[Se]c2ccccc2)N1,Se,metal_Se,O=C1N[C@H]2[C@H](CS[C@H]2CCCCC(=O)OCCCC[Se]c2ccccc2)N1
CHEMBL4650229,Cc1cnc(C(=O)c2ncnc3[nH]ccc23)c([N-]S(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)c1.[Na+],Na,metal_Na,Cc1cnc(C(=O)c2ncnc3[nH]ccc23)c([N-]S(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)c1
CHEMBL4650302,O=C([O-])CC(O)(CC(=O)O)C(=O)O.O=C([O-])CC(O)(CC(=O)O)C(=O)O.O=C([O-])CC(O)(CC(=O)[O-])C(=O)O.[K+].[K+].[Mg+2],K,metal_K,O=C([O-])CC(O)(CC(=O)O)C(=O)O
CHEMBL4650347,COCCCOc1cccc(C[S+]([O-])c2nc3cc4c(cc3[n-]2)OCC4)c1C.[Na+],Na,metal_Na,COCCCOc1cccc(C[S+]([O-])c2nc3cc4c(cc3[n-]2)OCC4)c1C
CHEMBL4650355,O=C([O-])CN(CCN(CC(=O)[O-])Cc1cc(CCC(=O)NCCCCCC(=O)NCCCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)ccc1O)Cc1cc(CCC(=O)O)ccc1O.[18F-].[Al+3],Al,metal_Al,O=C([O-])CN(CCN(CC(=O)[O-])Cc1cc(CCC(=O)NCCCCCC(=O)NCCCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)ccc1O)Cc1cc(CCC(=O)O)ccc1O
CHEMBL475954,C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@]1(C)[C@@H](O)C[C@@H]1[C@@]3(C)CC[C@@H](O)C[C@H]3C[C@@H](O)[C@@]21C.[Na+],Na,metal_Na,C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@]1(C)[C@@H](O)C[C@@H]1[C@@]3(C)CC[C@@H](O)C[C@H]3C[C@@H](O)[C@@]21C
CHEMBL4802246,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)[O-])CC[C@]4(C)[C@H]3CC[C@]12C.[Na+],Na,metal_Na,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)[O-])CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL4802249,CC(C)(C#Cc1ccc(-c2ccc(Cl)c3c([N-]S(C)(=O)=O)nn(CC(F)(F)F)c23)c([C@H](Cc2cc(F)cc(F)c2)NC(=O)Cn2nc(C(F)(F)F)c3c2C(F)(F)[C@@H]2C[C@H]32)n1)S(C)(=O)=O.[Na+],Na,metal_Na,CC(C)(C#Cc1ccc(-c2ccc(Cl)c3c([N-]S(C)(=O)=O)nn(CC(F)(F)F)c23)c([C@H](Cc2cc(F)cc(F)c2)NC(=O)Cn2nc(C(F)(F)F)c3c2C(F)(F)[C@@H]2C[C@H]32)n1)S(C)(=O)=O
CHEMBL495027,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NO)[C@H]2SC1.[Na+],Na,metal_Na,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NO)[C@H]2SC1
CHEMBL495105,COCCOCCOCCOc1cccc(C2=N[C@@](C)(C(=O)[O-])CS2)c1O.[Na+],Na,metal_Na,COCCOCCOCCOc1cccc(C2=N[C@@](C)(C(=O)[O-])CS2)c1O
CHEMBL495796,Cc1cc(C)c(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(C)c1N.[Na+],Na,metal_Na,Cc1cc(C)c(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(C)c1N
CHEMBL496022,Nc1c(S(=O)(=O)[O-])cc(Nc2ccc(S(=O)(=O)[O-])cc2)c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+],Na,metal_Na,Nc1c(S(=O)(=O)[O-])cc(Nc2ccc(S(=O)(=O)[O-])cc2)c2c1C(=O)c1ccccc1C2=O
CHEMBL496100,CC(C)c1nc(N(C)c2ccon2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],Na,metal_Na,CC(C)c1nc(N(C)c2ccon2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-]
CHEMBL496401,Nc1c(S(=O)(=O)[O-])cc(Nc2ccc(Nc3nc(Cl)nc(Cl)n3)cc2)c2c1C(=O)c1ccccc1C2=O.[Na+],Na,metal_Na,Nc1c(S(=O)(=O)[O-])cc(Nc2ccc(Nc3nc(Cl)nc(Cl)n3)cc2)c2c1C(=O)c1ccccc1C2=O
CHEMBL496405,O=P([O-])([O-])OP(=O)([O-])SCCCCCl.[Na+].[Na+].[Na+],Na,metal_Na,O=P([O-])([O-])OP(=O)([O-])SCCCCCl
CHEMBL496406,O=P([O-])([O-])OP(=O)([O-])SCCOCCCl.[Na+].[Na+].[Na+],Na,metal_Na,O=P([O-])([O-])OP(=O)([O-])SCCOCCCl
CHEMBL498161,CC(C)c1nc(N(c2ccon2)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],Na,metal_Na,CC(C)c1nc(N(c2ccon2)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-]
CHEMBL498223,Nc1c(S(=O)(=O)[O-])cc(NCc2ccccc2)c2c1C(=O)c1ccccc1C2=O.[Na+],Na,metal_Na,Nc1c(S(=O)(=O)[O-])cc(NCc2ccccc2)c2c1C(=O)c1ccccc1C2=O
CHEMBL498224,Nc1c(S(=O)(=O)[O-])cc(NCCc2ccccc2)c2c1C(=O)c1ccccc1C2=O.[Na+],Na,metal_Na,Nc1c(S(=O)(=O)[O-])cc(NCCc2ccccc2)c2c1C(=O)c1ccccc1C2=O
CHEMBL498225,COc1ccc(CCNc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)cc1OC.[Na+],Na,metal_Na,COc1ccc(CCNc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)cc1OC
CHEMBL498229,Nc1ccc(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)[O-])c1.[Na+].[Na+],Na,metal_Na,Nc1ccc(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)[O-])c1
CHEMBL498360,CC(C)c1nc(Nc2ccnn2C)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],Na,metal_Na,CC(C)c1nc(Nc2ccnn2C)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-]
