ligand,rol,vina,recall,jaccard,coseno,n_contactos
DEC_CHEMBL1728134,decoy,-5.026,0.3613,0.2905,0.4645,72
DEC_CHEMBL1732240,decoy,-6.267,0.3613,0.3071,0.4927,64
DEC_CHEMBL1900501,decoy,-5.197,0.3613,0.305,0.4889,65
DEC_CHEMBL2143380,decoy,-5.739,0.3613,0.2774,0.4435,79
DEC_CHEMBL3189534,decoy,-5.346,0.3613,0.2867,0.4582,74
ACT_CHEMBL2165607,activo,-5.414,0.3529,0.3022,0.489,62
DECH_CHEMBL1201117,decoy,-5.074,0.3529,0.2819,0.4537,72
DECH_CHEMBL1228,decoy,-4.904,0.3529,0.3333,0.55,49
DECH_CHEMBL1452696,decoy,-5.326,0.3529,0.3387,0.5616,47
DECH_CHEMBL306700,decoy,-5.282,0.3529,0.2979,0.4813,64
DECH_CHEMBL3774966,decoy,-4.06,0.3529,0.3022,0.489,62
DECH_CHEMBL546,decoy,-4.349,0.3529,0.2917,0.4704,67
DECH_CHEMBL8488,decoy,-5.162,0.3529,0.3307,0.5445,50
DECH_CHEMBL980,decoy,-4.735,0.3529,0.2897,0.4669,68
DECM_CHEMBL1431783,decoy,-5.94,0.3529,0.3022,0.489,62
DECM_CHEMBL1546,decoy,-4.491,0.3529,0.2937,0.4739,66
DECM_CHEMBL8328,decoy,-5.439,0.3529,0.2917,0.4704,67
DEC_Baclofen,decoy,-5.161,0.3529,0.3,0.4851,63
DEC_CHEMBL1431783,decoy,-5.986,0.3529,0.3206,0.5239,54
DEC_CHEMBL1536059,decoy,-5.228,0.3529,0.3088,0.5012,59
DEC_CHEMBL3208261,decoy,-5.805,0.3529,0.3158,0.5145,56
DEC_CHEMBL3774966,decoy,-3.941,0.3529,0.3022,0.489,62
DECH_CHEMBL101,decoy,-5.202,0.3445,0.3306,0.5542,46
DECH_CHEMBL1201317,decoy,-3.791,0.3445,0.2828,0.4592,67
DECH_CHEMBL1201348,decoy,-5.312,0.3445,0.2867,0.4662,65
DECH_CHEMBL1401346,decoy,-5.506,0.3445,0.2789,0.4525,69
DECH_CHEMBL1563897,decoy,-4.768,0.3445,0.3178,0.5263,51
DECH_CHEMBL1597201,decoy,-5.131,0.3445,0.2908,0.4735,63
DECH_CHEMBL1689063,decoy,-4.652,0.3445,0.2993,0.4893,59
DECH_CHEMBL2110978,decoy,-2.879,0.3445,0.3178,0.5263,51
DECH_CHEMBL7855,decoy,-5.551,0.3445,0.3106,0.5115,54
DECM_CHEMBL1752,decoy,-4.835,0.3445,0.2733,0.4429,72
DECM_CHEMBL2105420,decoy,-4.682,0.3445,0.3037,0.4978,57
DECM_CHEMBL419,decoy,-4.335,0.3445,0.2662,0.4311,76
DECM_CHEMBL830,decoy,-3.818,0.3445,0.2697,0.4369,74
DEC_CHEMBL1343679,decoy,-5.068,0.3445,0.3361,0.5666,44
DEC_CHEMBL1579999,decoy,-5.822,0.3445,0.2993,0.4893,59
DEC_CHEMBL1597270,decoy,-5.154,0.3445,0.3306,0.5542,46
DEC_CHEMBL1731606,decoy,-6.377,0.3445,0.2867,0.4662,65
ACT_adrenalina,activo,-4.555,0.3361,0.2685,0.4383,70
DECH_CHEMBL1006,decoy,-4.031,0.3361,0.2817,0.462,63
DECH_CHEMBL1201766,decoy,-4.969,0.3361,0.2878,0.4734,60
DECH_CHEMBL1872278,decoy,-6.623,0.3361,0.292,0.4815,58
DECH_CHEMBL1983350,decoy,-5.185,0.3361,0.292,0.4815,58
DECH_CHEMBL490,decoy,-6.213,0.3361,0.2797,0.4583,64
DECH_CHEMBL94394,decoy,-4.998,0.3361,0.2963,0.49,56
DECM_CHEMBL25,decoy,-4.619,0.3361,0.3361,0.5798,40
DECM_CHEMBL282052,decoy,-5.573,0.3361,0.32,0.5406,46
DECM_CHEMBL465026,decoy,-5.876,0.3361,0.3252,0.5528,44
DECM_CHEMBL762,decoy,-5.08,0.3361,0.32,0.5406,46
DEC_CHEMBL1210791,decoy,-5.232,0.3361,0.292,0.4815,58
DEC_CHEMBL1402356,decoy,-5.918,0.3361,0.2667,0.4352,71
DEC_CHEMBL1502123,decoy,-5.467,0.3361,0.2484,0.4049,82
DEC_CHEMBL1510247,decoy,-5.754,0.3361,0.3077,0.5135,51
DEC_CHEMBL1539969,decoy,-5.098,0.3361,0.3101,0.5186,50
DEC_CHEMBL1730073,decoy,-5.37,0.3361,0.292,0.4815,58
DEC_CHEMBL1896432,decoy,-6.199,0.3361,0.2759,0.4514,66
DEC_CHEMBL1900310,decoy,-5.977,0.3361,0.3101,0.5186,50
DEC_CHEMBL2179266,decoy,-5.373,0.3361,0.2941,0.4857,57
DEC_CHEMBL3193932,decoy,-5.044,0.3361,0.292,0.4815,58
DEC_MOLIBRESIB,decoy,-5.404,0.3361,0.2797,0.4583,64
ACT_CHEMBL2165613,activo,-6.449,0.3277,0.2566,0.4213,72
DECH_CHEMBL1201168,decoy,-5.474,0.3277,0.3,0.5056,50
DECH_CHEMBL1383511,decoy,-4.303,0.3277,0.3047,0.516,48
DECH_CHEMBL1570373,decoy,-5.092,0.3277,0.3071,0.5215,47
DECH_CHEMBL25014,decoy,-6.372,0.3277,0.291,0.4865,54
DECM_CHEMBL1237044,decoy,-4.997,0.3277,0.2932,0.4911,53
DECM_CHEMBL1430,decoy,-3.422,0.3277,0.2889,0.4821,55
DECM_CHEMBL1446677,decoy,-4.805,0.3277,0.2806,0.4654,59
DECM_CHEMBL1730073,decoy,-5.448,0.3277,0.2889,0.4821,55
DECM_CHEMBL18116,decoy,-5.157,0.3277,0.2727,0.4504,63
DECM_CHEMBL1879748,decoy,-4.904,0.3277,0.325,0.5653,40
DECM_CHEMBL648,decoy,-5.702,0.3277,0.3223,0.5583,41
DEC_CHEMBL1389758,decoy,-5.171,0.3277,0.2453,0.4022,79
DEC_CHEMBL1413381,decoy,-5.042,0.3277,0.2727,0.4504,63
DEC_CHEMBL1879692,decoy,-5.212,0.3277,0.2653,0.4368,67
DEC_CHEMBL1879748,decoy,-5.006,0.3277,0.3095,0.5271,46
DEC_CHEMBL2165608,decoy,-5.701,0.3277,0.2671,0.4401,66
ACT_5-fluorouridina,activo,-4.85,0.3193,0.2657,0.4424,62
DECH_CHEMBL1310629,decoy,-5.743,0.3193,0.2794,0.4697,55
DECH_CHEMBL1865134,decoy,-5.217,0.3193,0.2969,0.5081,47
DECH_CHEMBL408513,decoy,-5.96,0.3193,0.2533,0.4194,69
DECH_CHEMBL461522,decoy,-4.643,0.3193,0.2676,0.446,61
DECM_CHEMBL667,decoy,-3.251,0.3193,0.3089,0.5375,42
DECM_CHEMBL856,decoy,-5.349,0.3193,0.2774,0.4655,56
DECM_CHEMBL918,decoy,-5.006,0.3193,0.3115,0.544,41
DEC_CHEMBL1446677,decoy,-4.944,0.3193,0.2695,0.4497,60
DEC_CHEMBL1470785,decoy,-4.961,0.3193,0.3167,0.5578,39
DEC_CHEMBL166209,decoy,-5.533,0.3193,0.2879,0.4878,51
ACT_diazepanoquinazolina_4MQ,activo,-4.812,0.3109,0.3008,0.5297,41
DECH_CHEMBL1501518,decoy,-4.274,0.3109,0.2803,0.4797,50
DECH_CHEMBL923,decoy,-4.717,0.3109,0.2467,0.4113,68
DECM_CHEMBL1374893,decoy,-5.563,0.3109,0.2587,0.4343,61
DECM_CHEMBL1969867,decoy,-4.916,0.3109,0.2298,0.3816,79
DECM_CHEMBL473417,decoy,-5.952,0.3109,0.2298,0.3816,79
DECM_CHEMBL9250,decoy,-7.229,0.3109,0.2782,0.4749,51
DECM_CHEMBL978,decoy,-3.516,0.3109,0.3008,0.5297,41
DEC_CHEMBL1373390,decoy,-5.715,0.3109,0.2587,0.4343,61
DEC_CHEMBL1374893,decoy,-5.657,0.3109,0.2587,0.4343,61
DEC_CHEMBL1401914,decoy,-4.55,0.3109,0.2721,0.4616,54
DEC_CHEMBL1409776,decoy,-5.006,0.3109,0.2868,0.4947,47
DEC_CHEMBL1452318,decoy,-5.893,0.3109,0.3008,0.5297,41
DEC_CHEMBL2136341,decoy,-5.295,0.3109,0.2662,0.4493,57
DEC_Escitalopram,decoy,-5.086,0.3109,0.2803,0.4797,50
