ligand,rol,vina,recall,jaccard,coseno,n_contactos
DEC_CHEMBL1374893,decoy,-4.926,0.2,0.1868,0.3845,23
DEC_CHEMBL1708757,decoy,-4.816,0.2,0.165,0.3117,35
DEC_CHEMBL1443628,decoy,-4.735,0.2,0.1574,0.2915,40
DEC_CHEMBL1554159,decoy,-9.627,0.1882,0.1684,0.3403,26
DEC_CHEMBL1470097,decoy,-5.431,0.1882,0.1538,0.2933,35
ACT_CHEMBL2165603,activo,-5.205,0.1882,0.1553,0.2976,34
DEC_CHEMBL1524161,decoy,-4.998,0.1882,0.1495,0.2815,38
DEC_Arimoclomol,decoy,-4.907,0.1882,0.1616,0.3168,30
DEC_CHEMBL1486052,decoy,-4.11,0.1882,0.1509,0.2853,37
DEC_CHEMBL2165602,decoy,-5.7,0.1765,0.1442,0.279,34
DEC_CHEMBL1389758,decoy,-5.521,0.1765,0.122,0.2235,53
DEC_CHEMBL1322610,decoy,-5.125,0.1765,0.1304,0.2425,45
DEC_CHEMBL1429958,decoy,-4.915,0.1647,0.1228,0.2316,43
DEC_CHEMBL1401914,decoy,-4.697,0.1647,0.1443,0.2978,26
DEC_CAPTOPRIL,decoy,-4.427,0.1647,0.125,0.2372,41
DEC_CHEMBL1592685,decoy,-4.343,0.1647,0.1167,0.2169,49
ACT_CHEMBL1643556,activo,-5.557,0.1529,0.1193,0.2318,37
DEC_CHEMBL3193932,decoy,-4.98,0.1529,0.1102,0.2079,46
ACT_CHEMBL2165612,activo,-5.89,0.1412,0.1091,0.214,37
ACT_CHEMBL1643557,activo,-5.689,0.1412,0.096,0.1805,52
ACT_CHEMBL1939222,activo,-5.216,0.1412,0.0968,0.1823,51
DEC_CHEMBL1731670,decoy,-6.016,0.1294,0.0982,0.1935,38
DEC_CHEMBL1332994,decoy,-5.526,0.1294,0.0991,0.1961,37
DEC_CHEMBL1732240,decoy,-5.406,0.1294,0.094,0.1819,43
DEC_5-HYDROXYFLAVONE,decoy,-5.191,0.1294,0.0982,0.1935,38
DEC_Escitalopram,decoy,-4.967,0.1294,0.1038,0.2109,32
DEC_CHEMBL1429107,decoy,-4.935,0.1294,0.0932,0.1799,44
DEC_CHEMBL1402270,decoy,-4.81,0.1294,0.1009,0.2017,35
DEC_CHEMBL1879685,decoy,-4.566,0.1294,0.0973,0.1911,39
DEC_CHEMBL1373390,decoy,-6.186,0.1176,0.0862,0.1694,41
DEC_CHEMBL166209,decoy,-5.819,0.1176,0.0885,0.176,38
DEC_CHEMBL1579999,decoy,-5.747,0.1176,0.087,0.1715,40
DEC_CHEMBL1391531,decoy,-5.015,0.1176,0.0794,0.1519,51
DEC_CHEMBL3189534,decoy,-4.974,0.1176,0.0917,0.186,34
DEC_CHEMBL1441905,decoy,-5.879,0.1059,0.0804,0.1627,36
DEC_CHEMBL1712280,decoy,-5.432,0.1059,0.0826,0.1699,33
DEC_CHEMBL1344270,decoy,-4.754,0.1059,0.075,0.1472,44
DEC_CHEMBL1900371,decoy,-4.128,0.1059,0.0826,0.1699,33
DEC_CHEMBL1570226,decoy,-5.358,0.0941,0.0721,0.1488,34
DEC_CHEMBL1429038,decoy,-5.217,0.0941,0.0678,0.1355,41
DEC_CHEMBL1539969,decoy,-4.744,0.0941,0.0702,0.1427,37
DEC_CHEMBL2356527,decoy,-9.241,0.0824,0.0673,0.1489,26
DEC_CHEMBL1708737,decoy,-5.546,0.0824,0.0631,0.1322,33
DEC_Lamotrigine,decoy,-5.408,0.0706,0.0441,0.0862,57
ACT_PRG-A01,activo,-6.196,0.0,0.0,0.0,54
ACT_LCS-1,activo,-4.906,0.0,0.0,0.0,31
