ligand,grupo,actual_afinidad,actual_apila_por_atomo,actual_apilamiento,actual_arn_por_atomo,actual_atomos,actual_contactos,actual_contactos_arn,actual_contactos_por_atomo,actual_interaccion,actual_interaccion_por_atomo,actual_puentes,arn_afinidad,arn_apila_por_atomo,arn_apilamiento,arn_arn_por_atomo,arn_atomos,arn_contactos,arn_contactos_arn,arn_contactos_por_atomo,arn_interaccion,arn_interaccion_por_atomo,arn_puentes
CHEMBL16552,fondo,-5.5,1.173913043478261,27,5.043478260869565,23,123,116,5.3478260869565215,30,1.3043478260869565,3,-6.0,0.8695652173913043,20,5.217391304347826,23,120,120,5.217391304347826,22,0.9565217391304348,2
CHEMBL21411,fondo,-8.0,2.1363636363636362,47,5.818181818181818,22,131,128,5.954545454545454,47,2.1363636363636362,0,-9.2,2.909090909090909,64,6.2272727272727275,22,139,137,6.318181818181818,64,2.909090909090909,0
CHEMBL4543339,fondo,-4.5,0.4,6,8.066666666666666,15,123,121,8.2,8,0.5333333333333333,2,-4.6,0.5333333333333333,8,7.866666666666666,15,120,118,8.0,9,0.6,1
ESTRADIOL,fondo,-8.8,1.5,30,6.05,20,125,121,6.25,32,1.6,2,-8.8,1.5,30,6.05,20,125,121,6.25,32,1.6,2
CHEMBL8794,fondo,-7.3,1.037037037037037,28,5.777777777777778,27,157,156,5.814814814814815,31,1.1481481481481481,3,-7.4,1.0,27,5.814814814814815,27,158,157,5.851851851851852,28,1.037037037037037,1
CHEMBL1242684,fondo,-6.7,0.5714285714285714,16,0.0,28,117,0,4.178571428571429,19,0.6785714285714286,3,-8.9,1.3571428571428572,38,5.428571428571429,28,155,152,5.535714285714286,40,1.4285714285714286,2
CHEMBL1863710,fondo,-5.8,0.8888888888888888,24,6.111111111111111,27,178,165,6.592592592592593,26,0.9629629629629629,2,-6.2,1.0,27,5.296296296296297,27,146,143,5.407407407407407,28,1.037037037037037,1
CHEMBL4639043,fondo,-7.4,0.5277777777777778,19,4.416666666666667,36,206,159,5.722222222222222,25,0.6944444444444444,6,-7.7,0.5555555555555556,20,4.611111111111111,36,211,166,5.861111111111111,25,0.6944444444444444,5
CHEMBL54930,fondo,-8.6,0.16216216216216217,6,0.0,37,129,0,3.4864864864864864,7,0.1891891891891892,1,-8.5,1.3783783783783783,51,3.3783783783783785,37,125,125,3.3783783783783785,51,1.3783783783783783,0
CHEMBL1496975,fondo,-6.9,1.45,29,5.85,20,118,117,5.9,30,1.5,1,-6.9,1.25,25,5.55,20,112,111,5.6,26,1.3,1
CHEMBL24474,fondo,-7.7,0.5652173913043478,13,5.608695652173913,23,143,129,6.217391304347826,15,0.6521739130434783,2,-7.7,0.5652173913043478,13,5.6521739130434785,23,144,130,6.260869565217392,15,0.6521739130434783,2
CHEMBL30254,fondo,-5.7,0.125,4,0.0,32,127,0,3.96875,6,0.1875,2,-5.8,0.21875,7,3.625,32,116,116,3.625,9,0.28125,2
CHEMBL520429,fondo,-7.0,0.0,0,1.2258064516129032,31,101,38,3.2580645161290325,0,0.0,0,-7.6,0.0,0,3.7096774193548385,31,123,115,3.967741935483871,0,0.0,0
CHEMBL9618,fondo,-5.7,0.2222222222222222,8,0.0,36,133,0,3.6944444444444446,16,0.4444444444444444,8,-6.6,1.0,36,4.555555555555555,36,165,164,4.583333333333333,36,1.0,0
CHEMBL1857969,fondo,-6.5,1.9,38,6.0,20,122,120,6.1,40,2.0,2,-6.7,1.35,27,5.75,20,119,115,5.95,29,1.45,2
CHEMBL510649,fondo,-6.0,2.909090909090909,32,8.727272727272727,11,107,96,9.727272727272727,34,3.090909090909091,2,-5.8,2.727272727272727,30,8.818181818181818,11,108,97,9.818181818181818,32,2.909090909090909,2
CHEMBL4534191,fondo,-7.0,0.9523809523809523,20,6.523809523809524,21,146,137,6.9523809523809526,24,1.1428571428571428,4,-7.4,1.4285714285714286,30,6.428571428571429,21,145,135,6.904761904761905,33,1.5714285714285714,3
CHEMBL502209,fondo,-7.0,0.0,0,0.0,48,114,0,2.375,3,0.0625,3,-6.3,0.0,0,1.6458333333333333,48,79,79,1.6458333333333333,2,0.041666666666666664,2
CHEMBL4581585,fondo,-7.8,0.9117647058823529,31,4.352941176470588,34,150,148,4.411764705882353,33,0.9705882352941176,2,-9.2,1.1764705882352942,40,4.705882352941177,34,168,160,4.9411764705882355,41,1.2058823529411764,1
CHEMBL566222,fondo,-7.2,0.7666666666666667,23,5.333333333333333,30,192,160,6.4,25,0.8333333333333334,2,-7.5,1.2666666666666666,38,5.833333333333333,30,189,175,6.3,43,1.4333333333333333,5
CHEMBL507553,fondo,-4.1,0.0,0,0.0,12,74,0,6.166666666666667,5,0.4166666666666667,5,-4.0,0.0,0,0.0,12,83,0,6.916666666666667,10,0.8333333333333334,10
CHEMBL48446,fondo,-7.0,1.2608695652173914,29,4.956521739130435,23,116,114,5.043478260869565,32,1.391304347826087,3,-6.7,1.0434782608695652,24,4.478260869565218,23,103,103,4.478260869565218,27,1.173913043478261,3
CHEMBL1210647,fondo,-6.3,0.034482758620689655,1,2.793103448275862,29,144,81,4.9655172413793105,6,0.20689655172413793,5,-7.1,1.4137931034482758,41,4.793103448275862,29,140,139,4.827586206896552,43,1.4827586206896552,2
CHEMBL50272,fondo,-6.9,0.3,9,4.1,30,170,123,5.666666666666667,15,0.5,6,-7.6,0.8,24,4.866666666666666,30,149,146,4.966666666666667,27,0.9,3
CHEMBL505407,fondo,-7.5,0.0,0,0.0,64,119,0,1.859375,4,0.0625,4,-6.5,0.0,0,1.9375,64,124,124,1.9375,9,0.140625,9
CHEMBL12844,fondo,-7.7,1.875,45,5.458333333333333,24,143,131,5.958333333333333,46,1.9166666666666667,1,-7.9,1.7083333333333333,41,4.916666666666667,24,119,118,4.958333333333333,42,1.75,1
CHEMBL4637958,fondo,-7.0,0.04878048780487805,2,0.0,41,126,0,3.073170731707317,7,0.17073170731707318,5,-8.5,0.2926829268292683,12,4.780487804878049,41,205,196,5.0,16,0.3902439024390244,4
CHEMBL56451,fondo,-7.2,2.3157894736842106,44,5.894736842105263,19,112,112,5.894736842105263,45,2.3684210526315788,1,-7.2,2.3684210526315788,45,5.947368421052632,19,113,113,5.947368421052632,46,2.4210526315789473,1
CHEMBL4564438,fondo,-8.8,1.1071428571428572,31,5.285714285714286,28,156,148,5.571428571428571,31,1.1071428571428572,0,-8.4,1.1071428571428572,31,4.678571428571429,28,132,131,4.714285714285714,31,1.1071428571428572,0
CHEMBL4575721,fondo,-7.8,1.434782608695652,33,5.608695652173913,23,138,129,6.0,33,1.434782608695652,0,-7.8,1.391304347826087,32,5.739130434782608,23,142,132,6.173913043478261,32,1.391304347826087,0
CHEMBL1866150,fondo,-7.7,0.9259259259259259,25,4.666666666666667,27,156,126,5.777777777777778,26,0.9629629629629629,1,-7.7,0.7407407407407407,20,4.407407407407407,27,155,119,5.7407407407407405,21,0.7777777777777778,1
CHEMBL4564150,fondo,-6.6,0.3125,10,0.0,32,131,0,4.09375,13,0.40625,3,-6.2,0.125,4,3.4375,32,135,110,4.21875,7,0.21875,3
CHEMBL37247,fondo,-5.5,0.85,17,6.3,20,140,126,7.0,17,0.85,0,-5.7,0.75,15,6.0,20,130,120,6.5,16,0.8,1
CHEMBL59778,fondo,-6.3,0.0,0,5.037037037037037,27,138,136,5.111111111111111,2,0.07407407407407407,2,-8.3,0.8518518518518519,23,5.62962962962963,27,154,152,5.703703703703703,23,0.8518518518518519,0
CHEMBL1865304,fondo,-7.7,1.2,36,4.066666666666666,30,128,122,4.266666666666667,36,1.2,0,-8.1,1.4666666666666666,44,4.533333333333333,30,139,136,4.633333333333334,45,1.5,1
CHEMBL46176,fondo,-7.4,0.2857142857142857,12,0.0,42,123,0,2.9285714285714284,18,0.42857142857142855,6,-7.2,0.30952380952380953,13,1.7857142857142858,42,146,75,3.4761904761904763,15,0.35714285714285715,2
