ligand,rol,vina,recall,jaccard,coseno,n_contactos
DECM_CHEMBL4435214,decoy,-6.652,0.8214,0.2023,0.5158,71
DECM_CHEMBL4436558,decoy,-6.862,0.8214,0.2165,0.4986,76
DEC_CHEMBL1413075,decoy,-5.094,0.8214,0.1538,0.5915,54
DEC_CHEMBL1414576,decoy,-4.527,0.8214,0.114,0.6873,40
DEC_CHEMBL1452318,decoy,-5.893,0.8214,0.1168,0.6788,41
DEC_CHEMBL1468148,decoy,-5.368,0.8214,0.1852,0.5391,65
DEC_CHEMBL1502123,decoy,-5.467,0.8214,0.2266,0.48,82
DEC_CHEMBL1509423,decoy,-5.33,0.8214,0.1766,0.552,62
DEC_CHEMBL1558218,decoy,-5.012,0.8214,0.1368,0.6274,48
DEC_CHEMBL1574978,decoy,-5.391,0.8214,0.1903,0.5271,68
DEC_CHEMBL1900371,decoy,-4.315,0.8214,0.1168,0.6788,41
DEC_CHEMBL1900501,decoy,-5.197,0.8214,0.1785,0.5391,65
DEC_CHEMBL272808,decoy,-6.011,0.8214,0.179,0.5433,64
DEC_CHEMBL3774966,decoy,-3.941,0.8214,0.1766,0.552,62
DEC_Escitalopram,decoy,-5.086,0.8214,0.136,0.6147,50
ACT_adrenalina,activo,-4.555,0.7857,0.188,0.4969,70
DECH_CHEMBL1409776,decoy,-4.82,0.7857,0.1105,0.6493,41
DECH_CHEMBL1524140,decoy,-5.012,0.7857,0.1421,0.5079,67
DECH_CHEMBL1570373,decoy,-5.092,0.7857,0.1339,0.6064,47
DECH_CHEMBL1872278,decoy,-6.623,0.7857,0.1652,0.5459,58
DECH_CHEMBL294199,decoy,-5.543,0.7857,0.2821,0.4179,99
DECM_CHEMBL14043,decoy,-7.187,0.7857,0.2203,0.462,81
DECM_CHEMBL3213756,decoy,-4.813,0.7857,0.1225,0.634,43
DECM_CHEMBL591,decoy,-3.721,0.7857,0.0883,0.7467,31
DECM_CHEMBL595793,decoy,-5.992,0.7857,0.125,0.6198,45
DECM_CHEMBL741,decoy,-5.289,0.7857,0.221,0.4648,80
DECM_CHEMBL898,decoy,-5.777,0.7857,0.1685,0.49,72
DECM_CHEMBL9250,decoy,-7.229,0.7857,0.1388,0.5822,51
DEC_CHEMBL1304181,decoy,-5.911,0.7857,0.1615,0.5413,59
DEC_CHEMBL1390652,decoy,-4.989,0.7857,0.1766,0.528,62
DEC_CHEMBL1401914,decoy,-4.55,0.7857,0.1538,0.5658,54
DEC_CHEMBL1402356,decoy,-5.918,0.7857,0.1854,0.4934,71
DEC_CHEMBL1731606,decoy,-6.377,0.7857,0.1785,0.5157,65
DEC_CHEMBL3213756,decoy,-4.764,0.7857,0.1311,0.613,46
DEC_ONONETIN,decoy,-5.426,0.7857,0.1903,0.5042,68
DECH_CHEMBL1256841,decoy,-5.806,0.75,0.2108,0.4613,74
DECH_CHEMBL26518,decoy,-6.794,0.75,0.233,0.4356,83
DECH_CHEMBL3310377,decoy,-6.283,0.75,0.1709,0.5123,60
DECM_CHEMBL1509423,decoy,-5.032,0.75,0.114,0.6275,40
DECM_CHEMBL1591882,decoy,-6.068,0.75,0.1168,0.6198,41
DECM_CHEMBL20651,decoy,-7.138,0.75,0.1738,0.5081,61
DECM_CHEMBL21594,decoy,-7.464,0.75,0.2137,0.4583,75
DEC_CHEMBL1395067,decoy,-6.624,0.75,0.1595,0.5303,56
DEC_CHEMBL1437517,decoy,-6.57,0.75,0.1538,0.5401,54
DEC_CHEMBL1470785,decoy,-4.961,0.75,0.1111,0.6355,39
DEC_CHEMBL1472702,decoy,-6.677,0.75,0.1852,0.4922,65
DEC_CHEMBL1476483,decoy,-5.923,0.75,0.1733,0.504,62
DEC_CHEMBL1491654,decoy,-6.861,0.75,0.1681,0.5167,59
DEC_CHEMBL1491689,decoy,-5.114,0.75,0.114,0.6275,40
DEC_CHEMBL1570928,decoy,-5.481,0.75,0.1425,0.5612,50
DEC_CHEMBL1712280,decoy,-5.144,0.75,0.1225,0.6052,43
DEC_CHEMBL1896436,decoy,-5.287,0.75,0.1836,0.4813,68
DEC_CHEMBL2360645,decoy,-5.886,0.75,0.1481,0.5503,52
ACT_naftalenoaminoalcohol_946,activo,-6.846,0.7241,0.2678,0.398,96
DECH_CHEMBL1462043,decoy,-5.633,0.7143,0.1595,0.5051,56
DECH_CHEMBL1728200,decoy,-5.055,0.7143,0.0958,0.6131,38
DECH_CHEMBL427216,decoy,-5.119,0.7143,0.1368,0.5455,48
DECH_CHEMBL461522,decoy,-4.643,0.7143,0.1738,0.4839,61
DECM_CHEMBL1304181,decoy,-6.177,0.7143,0.1667,0.48,62
DECM_CHEMBL4435669,decoy,-6.339,0.7143,0.2022,0.4307,77
DEC_CHEMBL1332994,decoy,-5.514,0.7143,0.1168,0.5903,41
DEC_CHEMBL1531633,decoy,-5.604,0.7143,0.1595,0.5051,56
DEC_CHEMBL1575024,decoy,-6.285,0.7143,0.1818,0.4688,65
DEC_CHEMBL1900310,decoy,-5.977,0.7143,0.1392,0.5345,50
DECH_CHEMBL1507664,decoy,-5.408,0.6786,0.1643,0.4636,60
DECH_CHEMBL19179,decoy,-6.227,0.6786,0.2351,0.3895,85
DECH_CHEMBL98,decoy,-4.922,0.6786,0.2023,0.4261,71
DECM_CHEMBL1969867,decoy,-4.916,0.6786,0.2079,0.404,79
DEC_CHEMBL1330118,decoy,-6.218,0.6786,0.1681,0.4675,59
DEC_CHEMBL1474627,decoy,-5.618,0.6786,0.1813,0.442,66
DEC_CHEMBL1731670,decoy,-5.392,0.6786,0.1538,0.4886,54
