ligand,tanda,aff_vieja,aff_nueva,error
CHEMBL13035,z002,-6.300,-6.069,
CHEMBL13309,z002,-6.300,,TIMEOUT
CHEMBL13333,z002,-6.300,-6.518,
CHEMBL13347,z002,-6.300,-7.968,
CHEMBL10801,z002,-6.300,-6.231,
CHEMBL10823,z002,-6.300,,TIMEOUT
CHEMBL10901,z002,-6.300,,TIMEOUT
CHEMBL10910,z002,-6.300,-5.751,
CHEMBL18381,z003,-7.300,-7.937,
CHEMBL4543505,z003,-7.300,-7.136,
CHEMBL15709,z003,-7.200,-6.813,
CHEMBL15933,z003,-7.200,-7.844,
CHEMBL4553688,z002,-6.300,-5.968,
CHEMBL4559966,z002,-6.300,-6.113,
CHEMBL4560024,z002,-6.300,-6.556,
CHEMBL4560041,z002,-6.300,-5.288,
CHEMBL9937,z002,-6.300,-6.642,
CHEMBL14666,z003,-8.200,-8.998,
CHEMBL4543379,z003,-8.000,,TIMEOUT
CHEMBL17277,z003,-7.800,-6.729,
CHEMBL13880,z002,-6.300,,TIMEOUT
CHEMBL13926,z002,-6.300,,TIMEOUT
CHEMBL13983,z002,-6.300,-6.062,
CHEMBL13994,z002,-6.300,-6.111,
CHEMBL11226,z002,-6.300,,TIMEOUT
CHEMBL11378,z002,-6.300,,TIMEOUT
CHEMBL11718,z002,-6.300,,TIMEOUT
CHEMBL11724,z002,-6.300,-6.780,
CHEMBL19640,z003,-7.200,-6.911,
CHEMBL19917,z003,-7.200,-6.979,
CHEMBL3309472,z003,-7.200,-6.638,
CHEMBL3309841,z003,-7.200,,TIMEOUT
CHEMBL3309842,z003,-7.200,,TIMEOUT
CHEMBL4434876,z003,-7.200,-5.626,
CHEMBL4434920,z003,-7.200,-7.323,
CHEMBL14362,z003,-7.100,-6.436,
CHEMBL9567,z002,-6.300,,TIMEOUT
CHEMBL9733,z002,-6.300,,TIMEOUT
CHEMBL9843,z002,-6.300,-6.137,
CHEMBL9898,z002,-6.300,-6.378,
CHEMBL4543207,z002,-6.300,-5.752,
CHEMBL4543248,z002,-6.300,,TIMEOUT
CHEMBL4553542,z002,-6.300,,TIMEOUT
CHEMBL4553676,z002,-6.300,,TIMEOUT
CHEMBL16464,z003,-7.200,-6.630,
CHEMBL18017,z003,-7.200,,TIMEOUT
CHEMBL18154,z003,-7.200,-6.120,
CHEMBL19347,z003,-7.200,-6.909,
CHEMBL19801,z003,-7.600,,TIMEOUT
CHEMBL16239,z003,-7.500,-7.096,
CHEMBL20178,z003,-7.500,,TIMEOUT
CHEMBL17580,z003,-7.400,-4.877,
CHEMBL3310425,z003,-6.900,-6.278,
CHEMBL4434797,z003,-6.900,-6.766,
CHEMBL4434863,z003,-6.900,-6.805,
CHEMBL4543202,z003,-6.900,,TIMEOUT
CHEMBL16936,z003,-7.100,-6.951,
CHEMBL18224,z003,-7.100,-7.111,
CHEMBL19051,z003,-7.100,-6.806,
CHEMBL19226,z003,-7.100,-6.972,
CHEMBL4434945,z003,-7.000,-5.465,
CHEMBL14652,z003,-6.900,-6.414,
CHEMBL15714,z003,-6.900,-6.699,
CHEMBL15909,z003,-6.900,-7.145,
CHEMBL18750,z003,-6.900,-7.259,
CHEMBL19111,z003,-6.900,,TIMEOUT
CHEMBL3310007,z003,-6.900,-6.450,
CHEMBL3310143,z003,-6.900,-6.006,
CHEMBL4543562,z003,-6.900,,TIMEOUT
CHEMBL15222,z003,-6.800,-6.316,
CHEMBL15486,z003,-6.800,-6.921,
CHEMBL16049,z003,-6.800,-7.050,
CHEMBL3309553,z003,-6.800,-7.322,
CHEMBL4434647,z003,-6.800,-6.454,
CHEMBL4434957,z003,-6.800,-6.915,
CHEMBL4543373,z003,-6.800,-6.647,
CHEMBL17496,z003,-7.000,-6.900,
CHEMBL17715,z003,-7.000,,TIMEOUT
CHEMBL18501,z003,-7.000,-6.791,
CHEMBL19270,z003,-7.000,-6.737,
CHEMBL19365,z003,-7.000,,TIMEOUT
CHEMBL19433,z003,-7.000,-6.520,
CHEMBL19897,z003,-7.000,-7.072,
CHEMBL20066,z003,-7.000,,TIMEOUT
CHEMBL19761,z003,-6.600,-6.403,
CHEMBL19991,z003,-6.600,-7.159,
CHEMBL20003,z003,-6.600,-6.763,
CHEMBL3310107,z003,-6.600,-6.135,
CHEMBL16669,z003,-6.700,-7.039,
CHEMBL16903,z003,-6.700,-6.465,
CHEMBL17023,z003,-6.700,-6.467,
CHEMBL17731,z003,-6.700,-7.108,
CHEMBL4543418,z003,-6.800,-6.792,
CHEMBL4543490,z003,-6.800,,TIMEOUT
CHEMBL15174,z003,-6.700,-5.086,
CHEMBL15237,z003,-6.700,-6.772,
CHEMBL19034,z003,-6.800,-7.274,
CHEMBL19153,z003,-6.800,-6.062,
CHEMBL19335,z003,-6.800,,TIMEOUT
CHEMBL20033,z003,-6.800,,TIMEOUT
CHEMBL20343,z003,-7.100,-7.338,
CHEMBL4434936,z003,-7.100,,TIMEOUT
CHEMBL16536,z003,-7.000,,TIMEOUT
CHEMBL17022,z003,-7.000,,TIMEOUT
CHEMBL14895,z003,-6.600,-7.010,
CHEMBL15497,z003,-6.600,-6.952,
CHEMBL15646,z003,-6.600,,TIMEOUT
CHEMBL15717,z003,-6.600,-6.176,
CHEMBL16390,z003,-6.900,,TIMEOUT
CHEMBL17332,z003,-6.900,,TIMEOUT
CHEMBL17427,z003,-6.900,,TIMEOUT
CHEMBL17645,z003,-6.900,,TIMEOUT
CHEMBL16151,z003,-6.600,,TIMEOUT
CHEMBL16516,z003,-6.600,-6.673,
CHEMBL16908,z003,-6.600,-6.932,
CHEMBL16983,z003,-6.600,,TIMEOUT
CHEMBL16361,z003,-6.800,,TIMEOUT
CHEMBL16965,z003,-6.800,,TIMEOUT
CHEMBL17590,z003,-6.800,,TIMEOUT
CHEMBL17680,z003,-6.800,-5.945,
CHEMBL17735,z003,-6.800,,TIMEOUT
CHEMBL17828,z003,-6.800,-7.078,
CHEMBL17911,z003,-6.800,,TIMEOUT
CHEMBL17928,z003,-6.800,,TIMEOUT
CHEMBL19473,z003,-6.600,-6.810,
CHEMBL19523,z003,-6.600,-5.981,
CHEMBL19613,z003,-6.600,,TIMEOUT
CHEMBL19681,z003,-6.600,-6.676,
CHEMBL4543504,z003,-6.700,,TIMEOUT
CHEMBL4543563,z003,-6.700,,TIMEOUT
CHEMBL4543576,z003,-6.700,-6.768,
CHEMBL14739,z003,-6.600,-5.916,
CHEMBL16198,z003,-6.500,-6.396,
CHEMBL16233,z003,-6.500,-5.832,
CHEMBL16349,z003,-6.500,-6.753,
CHEMBL16488,z003,-6.500,-6.446,
CHEMBL17937,z003,-6.700,-6.596,
CHEMBL17958,z003,-6.700,,TIMEOUT
CHEMBL18979,z003,-6.700,,TIMEOUT
CHEMBL19614,z003,-6.700,-7.778,
CHEMBL3310732,z003,-6.600,-7.029,
CHEMBL4434812,z003,-6.600,-6.175,
CHEMBL4434956,z003,-6.600,-6.952,
CHEMBL4543398,z003,-6.600,-7.103,
CHEMBL15581,z003,-6.700,-6.487,
CHEMBL15584,z003,-6.700,-6.656,
CHEMBL15643,z003,-6.700,,TIMEOUT
CHEMBL16446,z003,-6.700,-6.622,
CHEMBL4543464,z003,-6.600,-7.009,
CHEMBL4543497,z003,-6.600,-6.512,
CHEMBL4543508,z003,-6.600,-5.937,
CHEMBL4543528,z003,-6.600,-6.357,
CHEMBL19615,z003,-6.700,,TIMEOUT
CHEMBL20267,z003,-6.700,,TIMEOUT
CHEMBL3310149,z003,-6.700,-6.284,
CHEMBL4434740,z003,-6.700,,TIMEOUT
CHEMBL4543556,z003,-6.600,-6.218,
CHEMBL4543569,z003,-6.600,-6.628,
CHEMBL1163492,z003,-6.500,-6.709,
CHEMBL15248,z003,-6.500,-6.169,
CHEMBL15315,z003,-6.500,-6.741,
CHEMBL15427,z003,-6.500,-6.204,
CHEMBL15983,z003,-6.500,-8.213,
CHEMBL16010,z003,-6.500,,TIMEOUT
CHEMBL17139,z003,-6.600,,TIMEOUT
CHEMBL17395,z003,-6.600,,TIMEOUT
CHEMBL18212,z003,-6.600,-6.558,
CHEMBL18564,z003,-6.600,,TIMEOUT
CHEMBL16795,z003,-6.500,-6.719,
CHEMBL16911,z003,-6.500,-6.409,
CHEMBL16969,z003,-6.500,,TIMEOUT
CHEMBL17272,z003,-6.500,-5.088,
CHEMBL17293,z003,-6.500,-6.168,
CHEMBL17398,z003,-6.500,-5.953,
CHEMBL17417,z003,-6.500,-7.130,
CHEMBL17422,z003,-6.500,-6.632,
CHEMBL19586,z003,-6.500,-6.664,
CHEMBL19726,z003,-6.500,-7.386,
CHEMBL19894,z003,-6.500,-6.513,
CHEMBL20035,z003,-6.500,-6.880,
CHEMBL15519,z003,-6.400,-6.715,
CHEMBL15645,z003,-6.400,-5.740,
CHEMBL15986,z003,-6.400,-5.959,
CHEMBL16023,z003,-6.400,-5.685,
CHEMBL16784,z003,-6.400,-5.209,
CHEMBL16867,z003,-6.400,-6.294,
CHEMBL16948,z003,-6.400,-6.685,
CHEMBL16996,z003,-6.400,-6.389,
CHEMBL19143,z003,-6.500,-6.227,
CHEMBL19348,z003,-6.500,-6.597,
CHEMBL19419,z003,-6.500,-6.235,
CHEMBL19430,z003,-6.500,,TIMEOUT
CHEMBL17103,z003,-6.400,,TIMEOUT
CHEMBL17128,z003,-6.400,-6.771,
CHEMBL17196,z003,-6.400,-4.399,
CHEMBL17198,z003,-6.400,-6.208,
CHEMBL17956,z003,-6.500,-5.962,
CHEMBL18007,z003,-6.500,-5.857,
CHEMBL18055,z003,-6.500,,TIMEOUT
CHEMBL18068,z003,-6.500,,TIMEOUT
CHEMBL4434937,z003,-6.500,,TIMEOUT
CHEMBL4543428,z003,-6.500,-7.267,
CHEMBL1163496,z003,-6.400,,TIMEOUT
CHEMBL1163498,z003,-6.400,-6.540,
CHEMBL17252,z003,-6.400,-6.582,
CHEMBL17273,z003,-6.400,-6.175,
CHEMBL17624,z003,-6.400,-6.298,
CHEMBL17934,z003,-6.400,-6.141,
CHEMBL18816,z003,-6.500,-6.807,
CHEMBL18866,z003,-6.500,,TIMEOUT
CHEMBL18880,z003,-6.500,-5.801,
CHEMBL18938,z003,-6.500,-6.892,
CHEMBL16453,z003,-6.400,-6.095,
CHEMBL16468,z003,-6.400,-6.267,
CHEMBL16676,z003,-6.400,,TIMEOUT
CHEMBL16711,z003,-6.400,,TIMEOUT
CHEMBL19255,z003,-6.400,,TIMEOUT
CHEMBL19660,z003,-6.400,-6.714,
CHEMBL19721,z003,-6.400,-7.376,
CHEMBL19834,z003,-6.400,-6.414,
CHEMBL18413,z003,-6.500,,TIMEOUT
CHEMBL18606,z003,-6.500,,TIMEOUT
CHEMBL18727,z003,-6.500,,TIMEOUT
CHEMBL18765,z003,-6.500,,TIMEOUT
CHEMBL3309470,z003,-6.500,,TIMEOUT
CHEMBL3310136,z003,-6.500,-6.253,
CHEMBL4434816,z003,-6.500,-6.402,
CHEMBL4434880,z003,-6.500,-5.747,
CHEMBL15688,z003,-6.300,-6.054,
CHEMBL15772,z003,-6.300,-6.160,
CHEMBL15877,z003,-6.300,-6.128,
CHEMBL15959,z003,-6.300,-6.494,
CHEMBL14917,z003,-6.400,-6.178,
CHEMBL14921,z003,-6.400,-6.217,
CHEMBL14955,z003,-6.400,,TIMEOUT
CHEMBL15470,z003,-6.400,,TIMEOUT
CHEMBL18597,z003,-6.400,,TIMEOUT
CHEMBL18671,z003,-6.400,,TIMEOUT
CHEMBL18677,z003,-6.400,-5.801,
CHEMBL18826,z003,-6.400,-6.428,
CHEMBL3309550,z003,-6.400,,TIMEOUT
CHEMBL3309843,z003,-6.400,-7.919,
CHEMBL3310011,z003,-6.400,-5.962,
CHEMBL3310012,z003,-6.400,-5.841,
CHEMBL19957,z003,-6.400,-6.258,
CHEMBL19978,z003,-6.400,-7.142,
CHEMBL20163,z003,-6.400,-6.033,
CHEMBL3309473,z003,-6.400,-6.523,
CHEMBL14962,z003,-6.300,-6.311,
CHEMBL15202,z003,-6.300,-6.196,
CHEMBL15240,z003,-6.300,-6.483,
CHEMBL15284,z003,-6.300,,TIMEOUT
CHEMBL18042,z003,-6.400,-5.864,
CHEMBL18204,z003,-6.400,,TIMEOUT
CHEMBL18339,z003,-6.400,,TIMEOUT
CHEMBL18579,z003,-6.400,,TIMEOUT
CHEMBL4543462,z003,-6.400,-6.612,
CHEMBL4543491,z003,-6.400,,TIMEOUT
CHEMBL4543555,z003,-6.400,,TIMEOUT
CHEMBL14713,z003,-6.300,-5.643,
CHEMBL18940,z003,-6.400,,TIMEOUT
CHEMBL19036,z003,-6.400,-6.205,
CHEMBL19072,z003,-6.400,,TIMEOUT
CHEMBL19158,z003,-6.400,-6.857,
CHEMBL16146,z003,-6.300,-6.065,
CHEMBL16304,z003,-6.300,,TIMEOUT
CHEMBL16368,z003,-6.300,-6.314,
CHEMBL16525,z003,-6.300,-6.431,
CHEMBL16906,z003,-6.300,-6.304,
CHEMBL17013,z003,-6.300,-6.229,
CHEMBL17031,z003,-6.300,-6.978,
CHEMBL17058,z003,-6.300,,TIMEOUT
CHEMBL16598,z003,-6.300,-6.663,
CHEMBL16683,z003,-6.300,,TIMEOUT
CHEMBL16838,z003,-6.300,-5.656,
CHEMBL16873,z003,-6.300,,TIMEOUT
CHEMBL3310180,z003,-6.400,-4.883,
CHEMBL4434645,z003,-6.400,-6.827,
CHEMBL4434768,z003,-6.400,-6.556,
CHEMBL4434788,z003,-6.400,,TIMEOUT
CHEMBL17346,z003,-6.300,-6.007,
CHEMBL17426,z003,-6.300,,TIMEOUT
CHEMBL17475,z003,-6.300,-5.096,
CHEMBL17480,z003,-6.300,-6.127,
CHEMBL17802,z003,-6.300,-5.718,
CHEMBL18036,z003,-6.300,-5.451,
CHEMBL18323,z003,-6.300,-5.551,
CHEMBL18396,z003,-6.300,,TIMEOUT
CHEMBL17210,z003,-6.300,-6.006,
CHEMBL17275,z003,-6.300,,TIMEOUT
CHEMBL17288,z003,-6.300,,TIMEOUT
CHEMBL17326,z003,-6.300,-6.245,
CHEMBL4434744,z003,-6.300,,TIMEOUT
CHEMBL4543477,z003,-6.300,-6.660,
CHEMBL20194,z004,-8.000,-7.154,
CHEMBL21907,z004,-7.800,-6.732,
CHEMBL19589,z003,-6.300,-5.652,
CHEMBL19590,z003,-6.300,-6.351,
CHEMBL19594,z003,-6.300,,TIMEOUT
CHEMBL19631,z003,-6.300,-6.383,
CHEMBL4434813,z003,-6.400,,TIMEOUT
CHEMBL4434821,z003,-6.400,-7.513,
CHEMBL4543269,z003,-6.400,,TIMEOUT
CHEMBL4543461,z003,-6.400,,TIMEOUT
CHEMBL19727,z003,-6.300,-6.320,
CHEMBL19794,z003,-6.300,-6.029,
CHEMBL19814,z003,-6.300,,TIMEOUT
CHEMBL19947,z003,-6.300,-6.691,
CHEMBL17481,z003,-6.300,,TIMEOUT
CHEMBL17483,z003,-6.300,-6.197,
CHEMBL17515,z003,-6.300,-6.491,
CHEMBL17747,z003,-6.300,,TIMEOUT
CHEMBL20048,z003,-6.300,-6.046,
CHEMBL20255,z003,-6.300,,TIMEOUT
CHEMBL20400,z003,-6.300,,TIMEOUT
CHEMBL3309554,z003,-6.300,,TIMEOUT
CHEMBL18405,z003,-6.300,,TIMEOUT
CHEMBL18592,z003,-6.300,-6.064,
CHEMBL19228,z003,-6.300,,TIMEOUT
CHEMBL19277,z003,-6.300,,TIMEOUT
CHEMBL3309844,z003,-6.300,,TIMEOUT
CHEMBL3310105,z003,-6.300,-5.706,
CHEMBL3310181,z003,-6.300,-6.171,
CHEMBL4434649,z003,-6.300,,TIMEOUT
CHEMBL21224,z004,-7.600,-7.517,
CHEMBL24224,z004,-7.500,,TIMEOUT
CHEMBL20390,z004,-7.400,-6.988,
CHEMBL4434852,z004,-7.400,,TIMEOUT
CHEMBL24184,z004,-7.200,,TIMEOUT
CHEMBL24465,z004,-7.200,-6.809,
CHEMBL4435044,z004,-7.200,,TIMEOUT
CHEMBL4435185,z004,-7.200,-7.291,
CHEMBL23457,z004,-7.300,,TIMEOUT
CHEMBL3309778,z004,-7.300,,TIMEOUT
CHEMBL3311125,z004,-7.300,-7.567,
CHEMBL20496,z004,-7.200,-7.198,
CHEMBL21019,z004,-7.700,,TIMEOUT
CHEMBL24894,z004,-7.700,,TIMEOUT
CHEMBL3309785,z004,-7.700,,TIMEOUT
CHEMBL4434850,z004,-7.700,-7.377,
CHEMBL22137,z004,-7.200,,TIMEOUT
CHEMBL22870,z004,-7.200,,TIMEOUT
CHEMBL23312,z004,-7.200,-5.245,
CHEMBL23927,z004,-7.200,-5.294,
CHEMBL20196,z004,-7.300,,TIMEOUT
CHEMBL20430,z004,-7.300,,TIMEOUT
CHEMBL21425,z004,-7.300,-6.728,
CHEMBL21458,z004,-7.300,,TIMEOUT
CHEMBL20553,z004,-7.200,,TIMEOUT
CHEMBL21562,z004,-7.200,-6.788,
CHEMBL21939,z004,-7.200,,TIMEOUT
CHEMBL21992,z004,-7.200,-7.403,
CHEMBL4435419,z004,-7.200,-6.578,
CHEMBL20965,z004,-7.100,,TIMEOUT
CHEMBL21071,z004,-7.100,-6.756,
CHEMBL21426,z004,-7.100,-6.598,
CHEMBL21930,z004,-7.100,-6.057,
CHEMBL21997,z004,-7.100,,TIMEOUT
CHEMBL23589,z004,-7.100,-7.292,
CHEMBL24271,z004,-7.100,-6.405,
CHEMBL4435183,z004,-7.000,-7.156,
CHEMBL20325,z004,-6.900,-7.013,
CHEMBL20549,z004,-6.900,-6.080,
CHEMBL20754,z004,-6.900,-7.204,
CHEMBL23733,z004,-6.900,-5.214,
CHEMBL23928,z004,-6.900,-5.295,
CHEMBL24348,z004,-6.900,-5.976,
CHEMBL24738,z004,-6.900,-6.248,
CHEMBL25058,z004,-7.100,,TIMEOUT
CHEMBL3309845,z004,-7.100,,TIMEOUT
CHEMBL20897,z004,-7.000,-6.964,
CHEMBL21737,z004,-7.000,-6.692,
CHEMBL3309784,z004,-7.000,-6.485,
CHEMBL4434731,z004,-7.000,,TIMEOUT
CHEMBL4434974,z004,-7.000,-7.393,
CHEMBL4435177,z004,-7.000,-6.079,
CHEMBL21026,z004,-6.900,,TIMEOUT
CHEMBL21432,z004,-6.900,-6.342,
CHEMBL21594,z004,-6.900,-6.956,
CHEMBL22033,z004,-6.900,,TIMEOUT
CHEMBL24736,z004,-7.000,,TIMEOUT
CHEMBL25073,z004,-7.000,,TIMEOUT
CHEMBL25764,z004,-7.000,-5.996,
CHEMBL3309475,z004,-7.000,-6.376,
CHEMBL4435245,z004,-6.800,-6.491,
CHEMBL4435625,z004,-6.800,-6.243,
CHEMBL4435626,z004,-6.800,-6.743,
CHEMBL4435778,z004,-6.800,-7.510,
CHEMBL4435414,z004,-6.900,-5.884,
CHEMBL20323,z004,-6.800,-7.272,
CHEMBL20413,z004,-6.800,-6.783,
CHEMBL20717,z004,-6.800,,TIMEOUT
CHEMBL3309479,z004,-6.900,,TIMEOUT
CHEMBL3309783,z004,-6.900,-6.597,
CHEMBL3309846,z004,-6.900,,TIMEOUT
CHEMBL3311126,z004,-6.900,-6.900,
CHEMBL21524,z004,-6.800,,TIMEOUT
CHEMBL21963,z004,-6.800,-7.038,
CHEMBL22071,z004,-6.800,-5.878,
CHEMBL22138,z004,-6.800,-5.838,
CHEMBL22829,z004,-6.800,-6.422,
CHEMBL24194,z004,-6.800,-6.005,
CHEMBL24266,z004,-6.800,-6.377,
CHEMBL24524,z004,-6.800,,TIMEOUT
CHEMBL4434652,z004,-6.900,,TIMEOUT
CHEMBL4435001,z004,-6.900,-6.221,
CHEMBL4435226,z004,-6.900,-7.381,
CHEMBL4435266,z004,-6.900,,TIMEOUT
CHEMBL24729,z004,-6.800,-6.453,
CHEMBL24842,z004,-6.800,-6.142,
CHEMBL25065,z004,-6.800,,TIMEOUT
CHEMBL3310192,z004,-6.800,-6.673,
CHEMBL20572,z004,-6.700,-6.812,
CHEMBL20593,z004,-6.700,-6.172,
CHEMBL20617,z004,-6.700,-6.699,
CHEMBL20629,z004,-6.700,-6.990,
CHEMBL1163505,z004,-6.700,-6.306,
CHEMBL20205,z004,-6.700,-6.387,
CHEMBL20277,z004,-6.700,-7.321,
CHEMBL20418,z004,-6.700,-6.872,
CHEMBL21637,z004,-6.700,-7.074,
CHEMBL21877,z004,-6.700,-6.745,
CHEMBL21942,z004,-6.700,-6.082,
CHEMBL22055,z004,-6.700,-6.168,
CHEMBL4434755,z004,-6.700,-6.234,
CHEMBL4435016,z004,-6.700,-6.326,
CHEMBL4435049,z004,-6.700,-6.914,
CHEMBL4435664,z004,-6.700,-5.594,
CHEMBL4434992,z004,-6.800,-6.454,
CHEMBL4435073,z004,-6.800,-7.264,
CHEMBL4435143,z004,-6.800,,TIMEOUT
CHEMBL4435239,z004,-6.800,-6.657,
CHEMBL20690,z004,-6.700,-7.383,
CHEMBL20826,z004,-6.700,-5.560,
CHEMBL20927,z004,-6.700,,TIMEOUT
CHEMBL21197,z004,-6.700,-7.526,
CHEMBL24267,z004,-6.700,-6.695,
CHEMBL24424,z004,-6.700,-7.694,
CHEMBL24557,z004,-6.700,,TIMEOUT
CHEMBL24606,z004,-6.700,-6.434,
CHEMBL24764,z004,-6.700,-7.023,
CHEMBL24775,z004,-6.700,-7.185,
CHEMBL25995,z004,-6.700,-6.989,
CHEMBL279629,z004,-6.700,,TIMEOUT
CHEMBL4435753,z004,-6.700,-6.809,
CHEMBL20208,z004,-6.600,-7.172,
CHEMBL20217,z004,-6.600,,TIMEOUT
CHEMBL20514,z004,-6.600,-6.824,
CHEMBL21267,z004,-6.700,,TIMEOUT
CHEMBL21346,z004,-6.700,-7.047,
CHEMBL21455,z004,-6.700,-6.373,
CHEMBL21605,z004,-6.700,-6.502,
CHEMBL20673,z004,-6.600,-6.401,
CHEMBL20714,z004,-6.600,-6.154,
CHEMBL20838,z004,-6.600,-6.774,
CHEMBL21190,z004,-6.600,-6.465,
CHEMBL22115,z004,-6.700,-6.728,
CHEMBL22822,z004,-6.700,-6.800,
CHEMBL23109,z004,-6.700,,TIMEOUT
CHEMBL24140,z004,-6.700,-7.004,
CHEMBL22003,z004,-6.600,,TIMEOUT
CHEMBL22036,z004,-6.600,-4.291,
CHEMBL22221,z004,-6.600,-6.254,
CHEMBL22278,z004,-6.600,-6.217,
CHEMBL3311110,z004,-6.600,-7.008,
CHEMBL3311128,z004,-6.600,-7.082,
CHEMBL4435015,z004,-6.600,-6.620,
CHEMBL4435075,z004,-6.600,-6.680,
CHEMBL22295,z004,-6.600,-5.830,
CHEMBL23184,z004,-6.600,,TIMEOUT
CHEMBL23248,z004,-6.600,-6.729,
CHEMBL23463,z004,-6.600,-6.285,
CHEMBL3309474,z004,-6.700,-6.439,
CHEMBL3309478,z004,-6.700,,TIMEOUT
CHEMBL3309847,z004,-6.700,,TIMEOUT
CHEMBL3311112,z004,-6.700,-7.147,
CHEMBL4435125,z004,-6.600,-5.888,
CHEMBL4435167,z004,-6.600,-6.860,
CHEMBL4435244,z004,-6.600,-7.096,
CHEMBL4435466,z004,-6.600,,TIMEOUT
CHEMBL23220,z004,-6.500,-6.057,
CHEMBL23374,z004,-6.500,-6.831,
CHEMBL23411,z004,-6.500,-6.582,
CHEMBL23620,z004,-6.500,-6.511,
CHEMBL21511,z004,-6.600,-5.918,
CHEMBL21597,z004,-6.600,-6.173,
CHEMBL21602,z004,-6.600,-5.994,
CHEMBL21612,z004,-6.600,-6.717,
CHEMBL24733,z004,-6.600,,TIMEOUT
CHEMBL24897,z004,-6.600,-6.535,
CHEMBL24898,z004,-6.600,-6.193,
CHEMBL24900,z004,-6.600,-7.170,
CHEMBL23998,z004,-6.600,,TIMEOUT
CHEMBL24012,z004,-6.600,-7.059,
CHEMBL24032,z004,-6.600,-6.560,
CHEMBL24095,z004,-6.600,-6.640,
CHEMBL21753,z004,-6.600,,TIMEOUT
CHEMBL21760,z004,-6.600,-6.531,
CHEMBL21804,z004,-6.600,,TIMEOUT
CHEMBL21944,z004,-6.600,-6.700,
CHEMBL4435536,z004,-6.600,-7.031,
CHEMBL4435642,z004,-6.600,-6.680,
CHEMBL1163518,z004,-6.500,-6.664,
CHEMBL20281,z004,-6.500,-6.946,
CHEMBL3309781,z004,-6.500,-5.746,
CHEMBL3310193,z004,-6.500,-6.896,
CHEMBL3310255,z004,-6.500,-6.518,
CHEMBL3311109,z004,-6.500,-6.668,
CHEMBL24213,z004,-6.600,,TIMEOUT
CHEMBL24359,z004,-6.600,-7.004,
CHEMBL24481,z004,-6.600,,TIMEOUT
CHEMBL24712,z004,-6.600,-6.003,
CHEMBL24973,z004,-6.600,-6.839,
CHEMBL25083,z004,-6.600,,TIMEOUT
CHEMBL26401,z004,-6.600,-6.485,
CHEMBL3309408,z004,-6.600,,TIMEOUT
CHEMBL4434663,z004,-6.500,-6.300,
CHEMBL4434887,z004,-6.500,-6.038,
CHEMBL4434972,z004,-6.500,-6.243,
CHEMBL4435011,z004,-6.500,-6.983,
CHEMBL20701,z004,-6.500,-7.703,
CHEMBL20773,z004,-6.500,-7.162,
CHEMBL20837,z004,-6.500,-6.664,
CHEMBL20867,z004,-6.500,-6.711,
CHEMBL22391,z004,-6.500,-6.212,
CHEMBL22732,z004,-6.500,-7.056,
CHEMBL22789,z004,-6.500,-7.011,
CHEMBL22945,z004,-6.500,-6.730,
CHEMBL4435783,z004,-6.500,-6.691,
CHEMBL639,z004,-6.500,-6.502,
CHEMBL20125,z004,-6.400,,TIMEOUT
CHEMBL20297,z004,-6.400,-5.703,
CHEMBL21013,z004,-6.500,-6.939,
CHEMBL21039,z004,-6.500,-7.113,
CHEMBL21233,z004,-6.500,-6.179,
CHEMBL22056,z004,-6.500,-6.508,
CHEMBL20438,z004,-6.500,-6.775,
CHEMBL20543,z004,-6.500,-5.941,
CHEMBL20596,z004,-6.500,,TIMEOUT
CHEMBL20604,z004,-6.500,,TIMEOUT
CHEMBL4435021,z004,-6.500,-5.743,
CHEMBL4435210,z004,-6.500,-7.235,
CHEMBL4435524,z004,-6.500,-6.049,
CHEMBL4435623,z004,-6.500,-6.470,
CHEMBL20375,z004,-6.400,-5.666,
CHEMBL20536,z004,-6.400,-7.333,
CHEMBL20545,z004,-6.400,-6.039,
CHEMBL20708,z004,-6.400,-6.313,
CHEMBL24256,z004,-6.500,,TIMEOUT
CHEMBL24295,z004,-6.500,-5.873,
CHEMBL24499,z004,-6.500,-6.099,
CHEMBL24550,z004,-6.500,,TIMEOUT
CHEMBL23869,z004,-6.500,,TIMEOUT
CHEMBL24098,z004,-6.500,,TIMEOUT
CHEMBL24112,z004,-6.500,-6.549,
CHEMBL24141,z004,-6.500,-5.676,
CHEMBL21167,z004,-6.400,,TIMEOUT
CHEMBL21189,z004,-6.400,-6.680,
CHEMBL21317,z004,-6.400,-5.668,
CHEMBL21359,z004,-6.400,-6.321,
CHEMBL24678,z004,-6.500,,TIMEOUT
CHEMBL24802,z004,-6.500,,TIMEOUT
CHEMBL24982,z004,-6.500,,TIMEOUT
CHEMBL25014,z004,-6.500,-6.433,
CHEMBL21652,z004,-6.400,,TIMEOUT
CHEMBL21815,z004,-6.400,,TIMEOUT
CHEMBL21910,z004,-6.400,-6.033,
CHEMBL22062,z004,-6.400,-5.773,
CHEMBL20832,z004,-6.400,-6.785,
CHEMBL20878,z004,-6.400,,TIMEOUT
CHEMBL21140,z004,-6.400,-6.656,
CHEMBL21149,z004,-6.400,-6.194,
CHEMBL23711,z004,-6.400,,TIMEOUT
CHEMBL23867,z004,-6.400,-6.328,
CHEMBL24030,z004,-6.400,-5.852,
CHEMBL24501,z004,-6.400,-6.406,
CHEMBL22105,z004,-6.400,-6.342,
