name,chembl_id,smiles
CHEMBL1383570,CHEMBL1383570,CCc1c(C)sc(N=C(S)NC(C)C2CCCO2)c1C(=O)OC
CHEMBL1384206,CHEMBL1384206,COCC(C)n1c(C)cc(C(=O)COc2ccc(S(=O)(=O)N3CCOCC3)cc2Cl)c1C
CHEMBL1384214,CHEMBL1384214,O=C(/C=C/c1ccc(Cl)c(Cl)c1)NC1=NCCS1
CHEMBL1389707,CHEMBL1389707,O=C(NC(=S)NCCc1ccccc1)c1cccc(Cl)c1
CHEMBL1389758,CHEMBL1389758,COC(=O)c1cc(C)sc1NC(=O)C1C2C=CC(CC2)C1C(=O)O
CHEMBL1390550,CHEMBL1390550,COC(=O)c1ccccc1NC(=O)NCc1ccccc1
CHEMBL1390636,CHEMBL1390636,Fc1ccc(C2=CC(c3ccc(Br)o3)n3ncnc3N2)cc1
CHEMBL1390652,CHEMBL1390652,Nc1nc(SCc2ccc(F)cc2)ns1
CHEMBL1391380,CHEMBL1391380,NC(=S)N=Nc1c(O)n(CCCl)c2ccc(Cl)cc12
CHEMBL1391481,CHEMBL1391481,Nc1nonc1-n1nnc(C(=O)c2ccccc2)c1-c1ccccc1
CHEMBL1391530,CHEMBL1391530,Cc1cccc(NC(=O)CCSc2nnc(Cc3ccccc3)o2)c1
CHEMBL1391531,CHEMBL1391531,COc1ccc2cnn(-c3ccc(C)cc3)c(=O)c2c1OC
CHEMBL1391555,CHEMBL1391555,O=C(Nc1ccc(N2CCOCC2)c(Cl)c1)c1ccccc1Cl
CHEMBL1391570,CHEMBL1391570,O=C(CN1C(=O)NC2(CCCCC2)C1=O)Nc1ccc(N2CCOCC2)cc1
CHEMBL1392366,CHEMBL1392366,Cc1ccc(-c2csc3ncnc(N4CCN(C(=O)c5ccccc5)CC4)c23)cc1
CHEMBL1394190,CHEMBL1394190,CCOc1ccc(-c2cccc(NS(=O)(=O)c3ccc(F)cc3F)c2)nn1
CHEMBL1395044,CHEMBL1395044,Cc1cccn2c(=O)c3cc(C(=O)NC(C)C)n(C)c3nc12
CHEMBL1395067,CHEMBL1395067,C=Cc1ccc(COC(=O)c2cn(CC)c3nc(C)ccc3c2=O)cc1
CHEMBL1395177,CHEMBL1395177,O=S(=O)(Nc1cc(F)ccc1F)c1ccc2[nH]c3c(c2c1)CCCC3
CHEMBL1395293,CHEMBL1395293,Cc1ccc(S(=O)(=O)N2CCN(C(=O)COC(=O)c3c(C)cc(C)cc3C)CC2)c(C)c1
CHEMBL1396269,CHEMBL1396269,Cc1nn(-c2ccc(F)cc2)c(-n2cccc2)c1C(=O)N1CCCCC1C
CHEMBL1397298,CHEMBL1397298,NC(=O)CC(NC(=O)c1ccccc1)c1ccc(N2CCN(c3ccccn3)CC2)c([N+](=O)[O-])c1
CHEMBL1398258,CHEMBL1398258,Cc1ccc(Cl)cc1N1CCN(C(=O)c2cnc(N3CCOCC3)c3ccccc23)CC1
CHEMBL1398307,CHEMBL1398307,Cc1ccc(Nc2ncnc3c2nc2n3CCCC2)cc1F
CHEMBL1398411,CHEMBL1398411,O=C(c1cnn(C(=O)c2ccccc2F)c1)c1ccccc1O
CHEMBL1401300,CHEMBL1401300,CCn1ccc2cc(S(=O)(=O)N3CCCN(C(=O)Nc4ccccc4F)CC3)ccc21
CHEMBL1401337,CHEMBL1401337,Cn1c2ccccc2c(=O)c2ccc(NCCc3cccs3)cc21
CHEMBL1401346,CHEMBL1401346,CCCc1cc(C(=O)NN=C(S)Nc2cccc(C)c2)cs1
CHEMBL1401539,CHEMBL1401539,CC1CCN(C(=O)Oc2c(Cl)cc(Cl)c3cccnc23)CC1
CHEMBL1401818,CHEMBL1401818,FC(F)(F)c1cc(-c2ccccc2)nc(NCc2cccs2)n1
CHEMBL1401914,CHEMBL1401914,c1ccc(N2CCN(c3ncccn3)CC2)cc1
CHEMBL1402270,CHEMBL1402270,O=C(CC1CCCCC1)NCc1ccccn1
CHEMBL1402279,CHEMBL1402279,COc1cc(/C=C(\C#N)C(N)=O)ccc1OS(=O)(=O)c1ccc(C)cc1
