ligand,papel,afinidad,pesados,puesto_fondo1,puesto_fondo2,residual
DECM_CHEMBL1372889,fondo,-5.188,20,269,,
DECH_CHEMBL1983350,fondo2,-5.185,17,270,,
DEC_CHEMBL1091584,fondo,-5.184,17,271,,
DECH_CHEMBL485,fondo2,-5.18,22,272,,
DEC_CHEMBL1322610,fondo,-5.172,23,273,,
DEC_CHEMBL1389758,fondo,-5.171,24,274,,
DECM_CHEMBL1440455,fondo,-5.168,18,275,,
DECH_CHEMBL1551968,fondo2,-5.163,24,276,,
DECM_CHEMBL218291,fondo,-5.163,19,277,,
DECH_CHEMBL8488,fondo2,-5.162,23,278,,
DEC_Baclofen,fondo,-5.161,14,279,,
DECM_CHEMBL12856,fondo,-5.158,14,280,,
DECM_CHEMBL18116,fondo,-5.157,15,281,,
DEC_CHEMBL1597270,fondo,-5.154,18,282,,
DECM_CHEMBL1037,fondo,-5.153,15,283,,
DEC_CHEMBL1570226,fondo,-5.149,26,284,,
DEC_CHEMBL3213140,fondo,-5.147,18,285,,
DECM_CHEMBL229128,fondo,-5.146,13,286,,
DEC_CHEMBL1712280,fondo,-5.144,19,287,,
DEC_CHEMBL1092602,fondo,-5.136,16,288,,
DECH_CHEMBL105,fondo2,-5.134,24,289,,
DECH_CHEMBL1597201,fondo2,-5.131,19,290,,
DECH_CHEMBL849,fondo2,-5.128,17,291,,
DECH_CHEMBL4594379,fondo2,-5.122,18,292,,
DECH_CHEMBL427216,fondo2,-5.119,22,293,,
DEC_CHEMBL1569875,fondo,-5.116,17,294,,
DEC_CHEMBL1491689,fondo,-5.114,19,295,,
DEC_CHEMBL1730221,fondo,-5.112,20,296,,
DEC_CHEMBL2359981,fondo,-5.101,23,297,,
DEC_CHEMBL1539969,fondo,-5.098,19,298,,
DECM_CHEMBL701,fondo,-5.095,14,299,,
DEC_CHEMBL1413075,fondo,-5.094,17,300,,
DECH_CHEMBL1570373,fondo2,-5.092,21,301,,
DEC_CHEMBL1486052,fondo,-5.087,15,302,,
DEC_Escitalopram,fondo,-5.086,24,303,,
DECM_CHEMBL750,fondo,-5.083,14,304,,
DEC_CHEMBL1443628,fondo,-5.081,17,305,,
DECM_CHEMBL762,fondo,-5.08,19,306,,
DECH_CHEMBL503634,fondo2,-5.078,21,307,,
DECH_CHEMBL1201117,fondo2,-5.074,17,308,,
